Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.0008297589039687911
P_charged_centers,1.0,1.0,0.0006199040306355769
N_charged_centers,1.0,1.0,-0.02880095606241112
N_charged_centers,0.0,0.0,0.0661603828921697
cLogP,8.8188,8.8188,-0.019539147523784123
cLogP,9.784,9.784,-0.01717721425478448
cLogP,12.515,12.515,0.010549261513113656
cLogP,6.12,6.12,-0.01881062609124332
cLogP,11.8502,11.8502,-0.014320655216124332
cLogP,12.73,12.73,0.051092953775751
Hbond_D,3.0,3.0,-0.0009369223648480325
Hbond_D,2.0,2.0,0.00011228774309271502
Hbond_D,0.0,0.0,0.0003501138981330137
Hbond_A,10.0,10.0,-0.054169251313858385
Hbond_A,9.0,9.0,-0.04812882287218117
Hbond_A,4.0,4.0,0.05832428624424312
Hbond_A,8.0,8.0,-0.05169861184869043
Hbond_A,0.0,0.0,0.1336724695789866
Double_bonds,1.0,1.0,-0.002571114906044353
Double_bonds,2.0,2.0,0.003623064824658583
Double_bonds,0.0,0.0,0.0001949573524626699
NP_ratio,4.0,4.0,-0.011468462093605004
NP_ratio,8.0,8.0,-0.009639825620395046
NP_ratio,12.0,12.0,0.02121959943302824
PEG_(Chol+PEG),0.199600798,0.199600798,-0.0005039294150605634
PEG_(Chol+PEG),0.99009901,0.99009901,0.019960541049054425
PEG_(Chol+PEG),9.090909091,9.090909091,-0.019519583717079316
(IL+HL),20.0,20.0,-0.03701042792879354
(IL+HL),40.0,40.0,-0.007009139922947354
(IL+HL),60.0,60.0,0.02032158667363069
(IL+HL),80.0,80.0,0.024214329005910463
HL_(IL+HL),0.497512438,0.497512438,-0.049394757524649564
HL_(IL+HL),0.99009901,0.99009901,-0.05445826959766447
HL_(IL+HL),1.960784314,1.960784314,-0.05314355304605406
HL_(IL+HL),9.090909091,9.090909091,0.029540250512697534
HL_(IL+HL),50.0,50.0,0.12815641681083317
