,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,14,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.05537999999999999,0.004326153025495052,0.8174552180952691,0.02539822768150643,0.8760762255695954,0.024935535866244963,0.0
1,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.0555,0.004486646854834911,0.8170607169820265,0.025780870296525742,0.8755645064135343,0.025659217324534602,0.005
2,12,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.05578,0.004482365446948742,0.815740178939061,0.0255149217293926,0.8740266687618312,0.025267164156658452,0.01
3,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.05588,0.004264457761544837,0.8151109883849224,0.02591787392558536,0.8739078488862791,0.0252761012663971,0.015
4,10,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.05691999999999999,0.004175356272223965,0.8118145779690235,0.02590150797170857,0.870274831780057,0.025177193636054848,0.02
5,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'PDI', 'Zeta']",0.05582,0.004023381662233898,0.8152306365994332,0.024346334445913415,0.8750802208602244,0.026133935736057552,0.025
6,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.05206,0.003319096262538946,0.8259403101325868,0.023544801991885664,0.8937772644387223,0.02194539700462935,0.03
7,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.07346,0.005072317024792515,0.7517570045994185,0.0261820129772729,0.7616915909064107,0.03312883990723868,0.035
8,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08635999999999999,0.006292090272715419,0.7115487927184683,0.02992820052860053,0.6583328090086117,0.03714241924114022,0.04
9,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Chol_DMG-PEG_ratio']",0.08360000000000001,0.006216108107168021,0.6374142728981185,0.04618263080956489,0.702282877227356,0.04324953618133554,0.045
10,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Chol_DMG-PEG_ratio']",0.08754,0.0069345800161221,0.6641394542016077,0.038632771588130665,0.6353827257430805,0.03850803734456518,0.05
11,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09254,0.0076425388451744234,0.6290836832540075,0.04015519868528878,0.5944305947157948,0.04202398542122591,0.055
12,2,"['P_charged_centers', 'NP_ratio']",0.1066,0.007952358140828416,0.48401718947926425,0.05226393613614824,0.428845490288169,0.03845621396087579,0.06
13,1,['P_charged_centers'],0.1085,0.008412490713219244,0.49889424661831805,0.043935678413507616,0.4144483772683394,0.028531688405858978,0.065
