group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0286,0.0,-0.0456,-0.0117,True
DT,MLR,0.0245,0.0003,0.0076,0.0414,True
DT,PLS,0.0253,0.0002,0.0084,0.0422,True
DT,RF,-0.0262,0.0001,-0.0431,-0.0092,True
DT,XGB,-0.0301,0.0,-0.047,-0.0132,True
DT,kNN,0.0121,0.3719,-0.0048,0.029,False
DT,lasso,0.0291,0.0,0.0122,0.046,True
LGBM,MLR,0.0531,0.0,0.0362,0.0701,True
LGBM,PLS,0.0539,0.0,0.037,0.0708,True
LGBM,RF,0.0025,0.9998,-0.0144,0.0194,False
LGBM,XGB,-0.0014,1.0,-0.0184,0.0155,False
LGBM,kNN,0.0407,0.0,0.0238,0.0576,True
LGBM,lasso,0.0577,0.0,0.0408,0.0746,True
MLR,PLS,0.0008,1.0,-0.0161,0.0177,False
MLR,RF,-0.0507,0.0,-0.0676,-0.0337,True
MLR,XGB,-0.0546,0.0,-0.0715,-0.0377,True
MLR,kNN,-0.0124,0.3376,-0.0293,0.0045,False
MLR,lasso,0.0046,0.9918,-0.0123,0.0215,False
PLS,RF,-0.0514,0.0,-0.0683,-0.0345,True
PLS,XGB,-0.0554,0.0,-0.0723,-0.0385,True
PLS,kNN,-0.0132,0.2593,-0.0301,0.0037,False
PLS,lasso,0.0038,0.9974,-0.0131,0.0207,False
RF,XGB,-0.0039,0.9969,-0.0208,0.013,False
RF,kNN,0.0382,0.0,0.0213,0.0552,True
RF,lasso,0.0553,0.0,0.0383,0.0722,True
XGB,kNN,0.0422,0.0,0.0253,0.0591,True
XGB,lasso,0.0592,0.0,0.0423,0.0761,True
kNN,lasso,0.017,0.0477,0.0001,0.0339,True
