,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.0006974055633560126
1,P_charged_centers,1.0,1.0,0.0004968546979568279
2,N_charged_centers,1.0,1.0,-0.0799092897652789
3,N_charged_centers,0.0,0.0,0.1776227794562995
4,Double_bonds,1.0,1.0,0.00556656547391353
5,Double_bonds,2.0,2.0,-0.013886843655015312
6,Double_bonds,0.0,0.0,0.017358096193192788
7,NP_ratio,4.0,4.0,-0.006444190629875339
8,NP_ratio,8.0,8.0,-0.010986675370850464
9,NP_ratio,12.0,12.0,0.01809575606984027
10,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.04908780872329337
11,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.05284404460269113
12,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.04737214931296957
13,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.022225405144175918
14,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.10877541023058512
15,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.028655935664631833
16,Dlin-MC3+Helper lipid percentage,40.0,40.0,-0.006656735632771395
17,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.010877853495812467
18,Dlin-MC3+Helper lipid percentage,80.0,80.0,0.015285093063171572
19,Chol_DMG-PEG_ratio,500.0,500.0,-0.00525925286678751
20,Chol_DMG-PEG_ratio,100.0,100.0,0.01197082871054179
21,Chol_DMG-PEG_ratio,10.0,10.0,-0.005501387900926281
22,Zeta,"(-9.666666666666668, -0.5555555555555571)",-5.1111111111111125,-0.012621871076957572
23,Zeta,"(-0.5555555555555571, 8.555555555555557)",4.0,0.01378843143184561
24,Zeta,"(-18.77777777777778, -9.666666666666668)",-14.222222222222223,-0.006449677189200473
25,Zeta,"(-27.88888888888889, -18.77777777777778)",-23.333333333333336,-0.006426998192736863
26,Zeta,"(8.555555555555557, 17.666666666666664)",13.11111111111111,0.018149689724275758
27,Zeta,"(-37.0, -27.88888888888889)",-32.44444444444444,0.0001205987374368377
28,Zeta,"(17.666666666666664, 26.77777777777777)",22.222222222222218,0.008933292606041159
29,Zeta,"(35.888888888888886, 45.0)",40.44444444444444,0.003020536982307935
30,Zeta,"(26.77777777777777, 35.888888888888886)",31.33333333333333,-0.007297326122298377
