,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.03291023404776899
1,P_charged_centers,1.0,1.0,0.02055663260703705
2,N_charged_centers,1.0,1.0,-0.04410841339941842
3,N_charged_centers,0.0,0.0,0.1074730929634554
4,Double_bonds,1.0,1.0,-0.001084366647443169
5,Double_bonds,2.0,2.0,0.02434776017949006
6,Double_bonds,0.0,0.0,-0.01010877879816844
7,NP_ratio,4.0,4.0,-0.021763953263145227
8,NP_ratio,8.0,8.0,-0.012577683802219427
9,NP_ratio,12.0,12.0,0.02652464760271383
10,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.02348114300680974
11,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.026184599609944417
12,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.007718900519272624
13,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.05783096480767855
14,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.04011199648205825
15,Dlin-MC3+Helper lipid percentage,20.0,20.0,0.007297067155097538
16,Dlin-MC3+Helper lipid percentage,40.0,40.0,0.019542131690226946
17,Dlin-MC3+Helper lipid percentage,60.0,60.0,-0.008497295706819476
18,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.012336411677032753
19,Chol_DMG-PEG_ratio,500.0,500.0,0.0011236054409602743
20,Chol_DMG-PEG_ratio,100.0,100.0,0.044801398893852436
21,Chol_DMG-PEG_ratio,10.0,10.0,-0.03571238779817474
22,Zeta,"(-9.666666666666668, -0.5555555555555571)",-5.1111111111111125,-0.006321387515323168
23,Zeta,"(-0.5555555555555571, 8.555555555555557)",4.0,0.010951324851169177
24,Zeta,"(-18.77777777777778, -9.666666666666668)",-14.222222222222223,0.012365368671332496
25,Zeta,"(-27.88888888888889, -18.77777777777778)",-23.333333333333336,0.0381802918621827
26,Zeta,"(8.555555555555557, 17.666666666666664)",13.11111111111111,0.036660656494833785
27,Zeta,"(-37.0, -27.88888888888889)",-32.44444444444444,0.019288858544365756
28,Zeta,"(17.666666666666664, 26.77777777777777)",22.222222222222218,0.04632526582341788
29,Zeta,"(35.888888888888886, 45.0)",40.44444444444444,0.11768142575666746
30,Zeta,"(26.77777777777777, 35.888888888888886)",31.33333333333333,0.06695423271812548
