,RLU_B16
0,0.13191385217816937
1,0.0747674987763094
2,0.0
3,0.10535976505139505
4,0.22711698482623588
5,0.11637298091042586
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.07807146353401856
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.05115026921194321
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.06081742535487028
78,0.011135584924131192
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.09459128732256489
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.04906999510523735
169,0.0
170,0.0
171,0.011135584924131192
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.22662750856583458
186,0.0
187,0.09312285854136076
188,0.19517865883504648
189,0.0
190,0.0588595203132648
191,0.0987518355359765
192,0.0
193,0.0
194,0.13497307880567788
195,0.0
196,0.06975036710719529
197,0.16116005873715122
198,0.036221243269701386
199,0.0
200,0.0
201,0.0
202,0.08883994126284872
203,0.0
204,0.0
205,0.0987518355359765
206,0.1428046989720998
207,0.07807146353401856
208,0.2673764072442486
209,0.3312530592266275
210,0.03842388644150757
211,0.005506607929515406
212,0.06265296133137543
213,0.0
214,0.06791483113069019
215,0.17364170337738616
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.3476505139500734
222,0.0588595203132648
223,0.0
224,0.0
225,0.07635829662261379
226,0.10658345570239841
227,0.0
228,0.0
229,0.1620166421928536
230,0.0
231,0.0
232,0.2473078805677924
233,0.036221243269701386
234,0.0
235,0.0
236,0.019211943220753813
237,0.14561918746940772
238,0.3849730788056779
239,0.0
240,0.06620166421928536
241,0.26211453744493396
242,0.0
243,0.0
244,0.3612334801762114
245,0.04698972099853155
246,0.09593734703866857
247,0.1651982378854625
248,0.44040626529613314
249,0.10401370533529125
250,0.2075379344101811
251,0.3896231032794909
252,0.09312285854136076
253,0.13986784140969155
254,0.3097161037689672
255,0.19762604013705332
256,0.0
257,0.0
258,0.2304209495839452
259,0.25660792951541855
260,0.20643661282427805
261,0.3094713656387664
262,0.4047968673519333
263,0.3480176211453745
264,0.4604747919725892
265,0.4672050905531081
266,0.3695545766030347
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.013950073421439058
273,0.0
274,0.0
275,0.1359520313264806
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.03389623103279493
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.09177679882525697
291,0.011135584924131192
292,0.0
293,0.044909446891825744
294,0.029246206558981858
295,0.06620166421928536
296,0.0
297,0.04906999510523735
298,0.20007342143906015
299,0.0
300,0.0
301,0.2217327459618209
302,0.0
303,0.03842388644150757
304,0.13790993636808613
305,0.18685756240822315
306,0.20239843367596666
307,0.3863191385217817
308,0.5444199706314243
309,0.44823788546255505
310,0.4498286833088595
311,0.2947870778267253
312,0.3956191874694076
313,0.4320851688693098
314,0.013950073421439058
315,0.026798825256975023
316,0.13986784140969155
317,0.0
318,0.0
319,0.1988497307880568
320,0.43086147821830634
321,0.41409691629955947
322,0.36245717082721485
323,0.3563387175721977
324,0.25844346549192365
325,0.3498531571218796
326,0.0588595203132648
327,0.0
328,0.15186000978952519
329,0.0
330,0.0
331,0.3330885952031327
332,0.4289035731767009
333,0.35927557513460595
334,0.381791483113069
335,0.3595203132648066
336,0.35009789525208024
337,0.3973323543808125
338,0.1243269701419481
339,0.08272148800783163
340,0.25660792951541855
341,0.07146353401860012
342,0.040626529613313755
343,0.345692608908468
344,0.4812775330396475
345,0.3968428781204112
346,0.32562408223201167
347,0.39488497307880566
348,0.36478218306412136
349,0.3568281938325991
350,0.4623103279490943
351,0.448972099853157
352,0.5292462065589819
353,0.4433431228585414
354,0.46096426823299075
355,0.9358786098874203
356,0.8387175721977482
357,0.7809593734703866
358,0.6965247185511503
359,0.7868330885952031
360,0.802863436123348
361,0.4754038179148311
362,0.7174498286833086
363,0.7431473323543807
364,0.6259177679882525
365,0.8024963289280469
366,0.3742046010768477
367,0.18624571708272153
368,0.11160058737151246
369,0.25122369065100336
370,0.28401860009789515
371,0.0
372,0.040626529613313755
373,0.2659079784630445
374,0.0
375,0.0
