,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.07536000000000001,0.006304791828442872,0.8521915895365649,0.026136690375700055,0.8699743519690749,0.02680967541874924,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.07558,0.00631534638796638,0.8513507630578491,0.026601991672275917,0.86935640409244,0.026913145545466706,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.07574,0.006520153372429209,0.8511360263466392,0.026937303244438566,0.8687424922681264,0.02737684949486811,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.07662,0.006629901960059441,0.8487878558778688,0.028362835080839387,0.8654103188400031,0.029287109410953648,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.08628,0.006982950665728635,0.8114792033757238,0.030957987307933935,0.8114275613409754,0.03934757207603044,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.08398000000000001,0.007215233883943056,0.8173991095118851,0.028436497254852516,0.8165540906425435,0.03661608427553756,0.05
6,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.0832,0.007113367697511496,0.8236560444296407,0.027478605629720838,0.8128894200347817,0.039450307161755065,0.06
7,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09028,0.007901999746899516,0.7987823333482506,0.028706820638922846,0.755110998615851,0.04247146918121728,0.07
8,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.13868000000000003,0.011788876112675033,0.47803460966830835,0.06790989164048795,0.37231861223657176,0.068569275234056,0.08
9,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15864,0.01177583967282164,0.2333171534390875,0.07015015265430348,0.1836723225747324,0.0627607876763372,0.09
10,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.16496,0.009945772971468831,0.18318925289229412,0.0792810343075431,0.1860645995485138,0.05642893155723614,0.1
11,2,"['P_charged_centers', 'NP_ratio']",0.16478,0.009980561106470918,0.18588195448599684,0.06636148943505679,0.20902912370738755,0.0460243865736966,0.11
12,1,['P_charged_centers'],0.16286,0.00987321629460228,0.2420509670012568,0.0674755363590642,0.24211976810539682,0.052014395540486855,0.12
