,RLU_N2a
0,0.4249798332885183
1,0.4131486958859909
2,0.20744823877386398
3,0.27641839204087115
4,0.3096262436138747
5,0.2061037913417586
6,0.2500672223716053
7,0.2102715783812853
8,0.3861253025006721
9,0.06265125033611185
10,0.19077709061575687
11,0.33288518418929813
12,0.3705297122882495
13,0.3468674374831944
14,0.21847270771712823
15,0.23581607959128792
16,0.2600161333691853
17,0.2667383705297123
18,0.2551761226136058
19,0.2746706103791342
20,0.2910728690508201
21,0.3518418929819843
22,0.24791610648023665
23,0.26579725732723847
24,0.30142511427803165
25,0.23917719817155147
26,0.1954826566281258
27,0.27735950524334496
28,0.2531594514654477
29,0.295509545576768
30,0.17168593707986013
31,0.29631621403603114
32,0.3272385049744555
33,0.30142511427803165
34,0.22492605539123423
35,0.13041140091422432
36,0.31809626243613864
37,0.2807206238236085
38,0.29335842968539927
39,0.36878193062651254
40,0.4131486958859909
41,0.4384243076095724
42,0.3483463296585103
43,0.3830330734068298
44,0.5260822801828449
45,0.0
46,0.0
47,0.0
48,0.034686743748319426
49,0.0
50,0.0
51,0.0
52,0.29174509276687277
53,0.127856950793224
54,0.02393116429147618
55,0.18069373487496643
56,0.3109706910459801
57,0.20892713094917992
58,0.30626512503361114
59,0.22613605808012904
60,0.0668190373756386
61,0.2871739714977144
62,0.28636730303845115
63,0.3236084969077708
64,0.21175047055660123
65,0.23339607421349817
66,0.27641839204087115
67,0.16200591556870125
68,0.2910728690508201
69,0.295509545576768
70,0.29174509276687277
71,0.25907502016671136
72,0.2531594514654477
73,0.3006184458187684
74,0.27897284216187146
75,0.2500672223716053
76,0.2910728690508201
77,0.09922022048937884
78,0.3211884915299812
79,0.14022586716859375
80,0.1493681097069104
81,0.3791341758537241
82,0.35426189835977406
83,0.018150040333422934
84,0.4179887066415703
85,0.25114278031728965
86,0.23339607421349817
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.029443398763108364
104,0.0668190373756386
105,0.0
106,0.11992471094380208
107,0.13538585641301415
108,0.02393116429147618
109,0.03979564399031993
110,0.2198171551492336
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.13041140091422432
117,0.0
118,0.03979564399031993
119,0.14251142780317283
120,0.17706372680828175
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.1253025006722237
128,0.0
129,0.0892713094917989
130,0.15367034148964775
131,0.20744823877386398
132,0.0
133,0.0
134,0.0060500134444743114
135,0.0
136,0.14022586716859375
137,0.14022586716859375
138,0.0
139,0.2684861521914492
140,0.25719279376176396
141,0.1493681097069104
142,0.26109169131486953
143,0.049341220758268356
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.44151653670341484
153,0.41005646679214836
154,0.34108631352514107
155,0.32831406292013976
156,0.28865286367303034
157,0.36300080666845924
158,0.22613605808012904
159,0.2061037913417586
160,0.034686743748319426
161,0.0
162,0.0
163,0.4865555256789459
164,0.412207582683517
165,0.3426996504436677
166,0.3791341758537241
167,0.2855606345791879
168,0.3218607152460339
169,0.31554181231513845
170,0.2977951062113471
171,0.2977951062113471
172,0.2894595321322936
173,0.1253025006722237
174,0.2198171551492336
175,0.44407098682441515
176,0.3211884915299812
177,0.3378596396880882
178,0.26297391771981715
179,0.2711750470556601
180,0.3205162678139285
181,0.26203280451734334
182,0.24253831675181503
183,0.3034417854261897
184,0.07461683248184997
185,0.137805861790804
186,0.5373756386125301
187,0.4275342834095186
188,0.3367840817424038
189,0.41287980639956967
190,0.3695885990857757
191,0.2999462221027157
192,0.4249798332885183
193,0.4045442323205163
194,0.4034686743748319
195,0.61938693197096
196,0.5264856144124764
197,0.47741328314062914
198,0.40844312987362197
199,0.7522183382629739
200,0.6552836784081741
201,0.7245227211616023
202,0.8521107824684053
203,0.800752890561979
204,0.9169131486958859
205,0.7773595052433449
206,0.8088195751546114
207,0.9533476741059423
208,0.9442054315676256
209,0.8815541812315137
210,0.36743748319440706
211,0.28314062920139815
212,0.1734337187415972
213,0.2500672223716053
214,0.25208389351976335
215,0.22990051089002417
216,0.2721161602581339
217,0.18916375369723037
218,0.332347405216456
219,0.13538585641301415
220,0.11992471094380208
221,0.3265662812584028
222,0.35426189835977406
223,0.29631621403603114
224,0.2721161602581339
225,0.2531594514654477
226,0.27641839204087115
227,0.2684861521914492
228,0.1970959935466523
229,0.029443398763108364
230,0.0583490185533746
231,0.08214573810164022
232,0.0959935466523259
233,0.40682979295509536
234,0.2948373218607152
235,0.31365958591019094
236,0.28636730303845115
237,0.31365958591019094
238,0.27386394191987085
239,0.35076633503630006
240,0.26297391771981715
241,0.2381016402258671
242,0.31164291476203276
243,0.14022586716859375
244,0.5336111858026351
245,0.3168862597472438
246,0.3643452541005646
247,0.4877655283678408
248,0.3861253025006721
249,0.6293358429685398
250,0.5131755848346329
251,0.3705297122882495
252,0.767948373218607
253,0.608228018284485
254,0.5502823339607421
255,0.8124495832212959
256,0.7996773326162947
257,0.6575692390427534
258,0.9236353858564128
259,0.7848884108631351
260,0.773863941919871
261,0.9701532670072599
262,0.8046517881150845
263,0.712691583759075
264,1.0
265,0.9727077171282601
266,0.8751008335574078
267,0.0
268,0.0
269,0.02393116429147618
270,0.02393116429147618
271,0.049341220758268356
272,0.13041140091422432
273,0.02393116429147618
274,0.0668190373756386
275,0.1753159451465448
276,0.0
277,0.0
278,0.07071793492874423
279,0.16402258671685932
280,0.04463565474589942
281,0.0
282,0.10231244958322128
283,0.0
284,0.0
285,0.0
286,0.053912342027426674
287,0.07851573003495566
288,0.018150040333422934
289,0.0
290,0.0060500134444743114
291,0.0
292,0.04463565474589942
