group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0189,0.0048,-0.0343,-0.0035,True
DT,MLR,0.0378,0.0,0.0225,0.0532,True
DT,PLS,0.0373,0.0,0.022,0.0527,True
DT,RF,-0.0156,0.0448,-0.0309,-0.0002,True
DT,XGB,-0.0205,0.0014,-0.0358,-0.0051,True
DT,kNN,0.0216,0.0005,0.0063,0.037,True
DT,lasso,0.0432,0.0,0.0278,0.0585,True
LGBM,MLR,0.0567,0.0,0.0414,0.0721,True
LGBM,PLS,0.0562,0.0,0.0409,0.0716,True
LGBM,RF,0.0033,0.998,-0.012,0.0187,False
LGBM,XGB,-0.0016,1.0,-0.0169,0.0138,False
LGBM,kNN,0.0405,0.0,0.0252,0.0559,True
LGBM,lasso,0.0621,0.0,0.0467,0.0774,True
MLR,PLS,-0.0005,1.0,-0.0159,0.0149,False
MLR,RF,-0.0534,0.0,-0.0687,-0.038,True
MLR,XGB,-0.0583,0.0,-0.0737,-0.0429,True
MLR,kNN,-0.0162,0.0308,-0.0315,-0.0008,True
MLR,lasso,0.0054,0.9654,-0.01,0.0207,False
PLS,RF,-0.0529,0.0,-0.0682,-0.0375,True
PLS,XGB,-0.0578,0.0,-0.0732,-0.0424,True
PLS,kNN,-0.0157,0.0417,-0.031,-0.0003,True
PLS,lasso,0.0059,0.9443,-0.0095,0.0212,False
RF,XGB,-0.0049,0.9786,-0.0203,0.0105,False
RF,kNN,0.0372,0.0,0.0218,0.0526,True
RF,lasso,0.0587,0.0,0.0434,0.0741,True
XGB,kNN,0.0421,0.0,0.0267,0.0575,True
XGB,lasso,0.0637,0.0,0.0483,0.079,True
kNN,lasso,0.0215,0.0006,0.0062,0.0369,True
