group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.007,0.8695,-0.0225,0.0085,False
DT,MLR,0.0547,0.0,0.0392,0.0702,True
DT,PLS,0.0553,0.0,0.0397,0.0708,True
DT,RF,-0.0055,0.9634,-0.021,0.01,False
DT,XGB,-0.0037,0.9961,-0.0192,0.0118,False
DT,kNN,0.0217,0.0006,0.0062,0.0372,True
DT,lasso,0.0547,0.0,0.0392,0.0702,True
LGBM,MLR,0.0617,0.0,0.0462,0.0773,True
LGBM,PLS,0.0623,0.0,0.0468,0.0778,True
LGBM,RF,0.0016,1.0,-0.014,0.0171,False
LGBM,XGB,0.0033,0.9982,-0.0122,0.0188,False
LGBM,kNN,0.0287,0.0,0.0132,0.0442,True
LGBM,lasso,0.0617,0.0,0.0462,0.0772,True
MLR,PLS,0.0005,1.0,-0.015,0.0161,False
MLR,RF,-0.0602,0.0,-0.0757,-0.0447,True
MLR,XGB,-0.0584,0.0,-0.074,-0.0429,True
MLR,kNN,-0.033,0.0,-0.0486,-0.0175,True
MLR,lasso,-0.0,1.0,-0.0155,0.0155,False
PLS,RF,-0.0607,0.0,-0.0762,-0.0452,True
PLS,XGB,-0.059,0.0,-0.0745,-0.0435,True
PLS,kNN,-0.0336,0.0,-0.0491,-0.0181,True
PLS,lasso,-0.0006,1.0,-0.0161,0.015,False
RF,XGB,0.0017,1.0,-0.0138,0.0172,False
RF,kNN,0.0271,0.0,0.0116,0.0427,True
RF,lasso,0.0602,0.0,0.0447,0.0757,True
XGB,kNN,0.0254,0.0,0.0099,0.0409,True
XGB,lasso,0.0584,0.0,0.0429,0.0739,True
kNN,lasso,0.033,0.0,0.0175,0.0485,True
