,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.018538628681758474
1,P_charged_centers,1.0,1.0,0.005283935818531887
2,N_charged_centers,1.0,1.0,-0.0010913095923638604
3,N_charged_centers,0.0,0.0,0.002995907710833581
4,cLogP,9.3028,9.3028,-0.0116403433331546
5,cLogP,9.784,9.784,0.014381686007291075
6,cLogP,12.515,12.515,0.01384184984073943
7,cLogP,6.12,6.12,-0.01707460241656823
8,Hbond_D,3.0,3.0,-0.012479338225355666
9,Hbond_D,2.0,2.0,0.01370598961991977
10,Hbond_D,0.0,0.0,-0.0009624663994089128
11,Hbond_A,10.0,10.0,-0.01823082887711396
12,Hbond_A,9.0,9.0,0.012712582425016139
13,Hbond_A,4.0,4.0,0.0053262587379693084
14,Hbond_A,8.0,8.0,-0.000803170398951288
15,Double_bonds,1.0,1.0,-0.014334015353819115
16,Double_bonds,2.0,2.0,0.013912827460366718
17,Double_bonds,0.0,0.0,-0.01629556959425765
18,NP_ratio,4.0,4.0,0.0025131101838888068
19,NP_ratio,8.0,8.0,-0.0025569250278378464
20,NP_ratio,12.0,12.0,0.0007945266873804634
21,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.06937761340282377
22,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.06802806077467063
23,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.05742026876963824
24,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.025410541123697183
25,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.17405225042180522
26,Dlin-MC3+Helper lipid percentage,20.0,20.0,0.007889346983085266
27,Dlin-MC3+Helper lipid percentage,40.0,40.0,0.0040572623403120935
28,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.01547577603609353
29,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.031232779016751675
30,Chol_DMG-PEG_ratio,500.0,500.0,0.06392482526272787
31,Chol_DMG-PEG_ratio,100.0,100.0,0.0438559785462778
32,Chol_DMG-PEG_ratio,10.0,10.0,-0.11918025815713487
33,Size,"(321.0, 560.0)",440.5,-0.0027024834221152276
34,Size,"(82.0, 321.0)",201.5,0.00039477141151288007
35,Size,"(799.0, 1038.0)",918.5,-0.014435982060418018
36,Size,"(1755.0, 1994.0)",1874.5,-0.00675661961571451
37,Size,"(1038.0, 1277.0)",1157.5,-0.009026761841426263
38,Size,"(560.0, 799.0)",679.5,0.004064576309128579
39,Size,"(1277.0, 1516.0)",1396.5,0.03984521224757391
40,Size,"(1516.0, 1755.0)",1635.5,0.0005191160373551062
41,Size,"(1994.0, 2233.0)",2113.5,-0.003967791419570735
42,Size,"(4384.0, 4623.0)",4503.5,0.012766732170135107
43,Size,"(2711.0, 2950.0)",2830.5,0.012548637535492057
44,Size,"(2950.0, 3189.0)",3069.5,0.0005476047711344774
45,PDI,0.292666667,0.292666667,0.0009796798490174293
46,PDI,0.187666667,0.187666667,0.005759955920443348
47,PDI,0.408666667,0.408666667,-0.003761836978914147
48,PDI,0.359666667,0.359666667,-0.0004188976415085451
49,PDI,0.308666667,0.308666667,0.0021471543599159574
50,PDI,0.374333333,0.374333333,-0.004106104231755242
51,PDI,0.257,0.257,0.003854020679826679
52,PDI,0.367333333,0.367333333,-0.00044099022669705614
53,PDI,0.301,0.301,0.008152620623422598
54,PDI,0.5935,0.5935,-0.02380540871268016
55,PDI,0.445,0.445,0.0034015312360794786
56,PDI,0.466166667,0.466166667,0.01022627629445178
57,PDI,0.062333333,0.062333333,-0.0004562331015503984
58,PDI,0.177666667,0.177666667,0.011060949197790059
59,PDI,0.298,0.298,-0.005368681520438622
60,PDI,0.319666667,0.319666667,-0.0005017630894238181
61,PDI,0.285666667,0.285666667,0.0028384665570759205
62,PDI,0.286333333,0.286333333,0.004507067090065113
63,PDI,0.296333333,0.296333333,-0.0017122487789212838
64,PDI,0.565833333,0.565833333,-0.008021579218400686
65,PDI,0.429666667,0.429666667,0.008067880405165451
66,PDI,0.270666667,0.270666667,0.005373571459388139
67,PDI,0.301666667,0.301666667,-0.0037676717906158126
68,PDI,0.512666667,0.512666667,-0.011735248894794914
69,PDI,0.463333333,0.463333333,0.00319882136142131
70,PDI,0.442333333,0.442333333,0.0005313432926069441
71,PDI,0.252,0.252,0.000547146733730637
72,PDI,0.283333333,0.283333333,-0.0004946228684825208
73,PDI,0.240333333,0.240333333,0.0025384439589765176
74,PDI,0.281333333,0.281333333,0.006650839342928249
75,PDI,0.537333333,0.537333333,-0.005973885052072271
76,PDI,0.436166667,0.436166667,0.009674938019614745
77,PDI,0.323,0.323,0.003871897697367308
78,PDI,0.320333333,0.320333333,0.0013705348636221498
79,PDI,0.568333333,0.568333333,-0.012688876156454407
80,PDI,0.293,0.293,-0.00617509746901735
81,PDI,0.251,0.251,0.003662447050976265
82,PDI,0.263,0.263,0.008140694046565831
83,PDI,0.273666667,0.273666667,0.0029756303353143604
84,PDI,0.252666667,0.252666667,0.003790571293494698
85,PDI,0.257333333,0.257333333,0.008115679593002613
86,PDI,0.268333333,0.268333333,0.01595858776441227
87,PDI,0.3755,0.3755,-0.0039029800049753954
88,PDI,0.288833333,0.288833333,0.003005379584725733
89,PDI,0.234333333,0.234333333,0.019103872413422485
90,PDI,0.579,0.579,-0.004495051452599184
91,PDI,0.492333333,0.492333333,0.0021682306370199617
92,PDI,0.215333333,0.215333333,-0.00022461808362912424
93,PDI,0.461,0.461,0.003018817379975097
94,PDI,0.131333333,0.131333333,-0.01498765961970513
95,PDI,0.151833333,0.151833333,-0.008597656341768203
96,PDI,0.102,0.102,-0.01904006541559725
97,PDI,0.518,0.518,0.004734654280490941
98,PDI,0.349333333,0.349333333,-0.011231564001240124
99,PDI,0.548,0.548,-0.05526219695147717
100,PDI,0.46,0.46,0.0016189296894547093
101,PDI,0.504666667,0.504666667,0.005963748981394863
102,PDI,0.482666667,0.482666667,0.0021453595319704997
103,PDI,0.325666667,0.325666667,0.005365344614962448
104,PDI,0.144666667,0.144666667,-0.004622470154221181
105,PDI,0.213666667,0.213666667,-0.004442086748241647
106,PDI,0.112,0.112,0.0009706874205544675
107,PDI,0.447,0.447,0.009317081020790558
108,PDI,0.441,0.441,0.008662623523931493
109,PDI,0.565,0.565,-0.020497339670624032
110,PDI,0.412333333,0.412333333,0.003267666963485912
111,PDI,0.080666667,0.080666667,0.005527541244848012
112,PDI,0.114666667,0.114666667,-0.004556940031055021
113,PDI,0.3485,0.3485,0.002883446640929981
114,PDI,0.453,0.453,0.01655767898823739
115,PDI,0.536333333,0.536333333,-0.015281132632130986
116,PDI,0.343333333,0.343333333,0.0019043469927642117
117,PDI,0.484333333,0.484333333,0.0011000922198744184
118,PDI,0.341333333,0.341333333,0.006986894142893042
119,PDI,0.295666667,0.295666667,0.0028969494744279563
120,PDI,0.146666667,0.146666667,0.001858410862852274
121,PDI,0.148333333,0.148333333,0.0019206744916872487
122,PDI,0.436333333,0.436333333,-0.0011792004956801844
123,PDI,0.343666667,0.343666667,-5.740930007533298e-05
124,PDI,0.364666667,0.364666667,-0.011355436704730458
125,PDI,0.267,0.267,-0.0015111024978855302
126,PDI,0.353333333,0.353333333,0.0018753570558657743
127,PDI,0.390666667,0.390666667,0.0006700529159233801
128,PDI,0.217333333,0.217333333,-0.004585333751775341
129,PDI,0.153666667,0.153666667,0.003773186043522668
130,PDI,0.369,0.369,-0.004638525566825595
131,PDI,0.277,0.277,-0.001319901277192874
132,PDI,0.221,0.221,-0.002358214948511957
133,PDI,0.200333333,0.200333333,-0.0022170916606207916
134,PDI,0.109,0.109,-0.009962656221818467
135,PDI,0.203333333,0.203333333,-0.005966968987528314
136,PDI,0.1,0.1,-0.015528708737433268
137,PDI,0.111,0.111,-0.018344080177369215
138,PDI,0.106333333,0.106333333,-0.01079449538078182
139,PDI,0.209,0.209,-0.014377858011444193
140,PDI,0.061666667,0.061666667,-0.02140155135175392
141,PDI,0.201,0.201,-0.0028327492764367596
142,PDI,0.132666667,0.132666667,-0.013323157785205902
143,PDI,0.290333333,0.290333333,-0.0008159769441562639
144,PDI,0.238333333,0.238333333,0.002923990525006121
145,PDI,0.428333333,0.428333333,-0.004266380919044035
146,PDI,0.599333333,0.599333333,-0.013556389975940534
147,PDI,0.307333333,0.307333333,-0.0024373919964076956
148,PDI,0.435666667,0.435666667,-0.0019067273305450184
149,PDI,0.400666667,0.400666667,-0.0011857461866652793
150,PDI,0.504,0.504,-0.005260579037842798
151,PDI,0.356666667,0.356666667,-0.004534285972446588
152,PDI,0.331,0.331,-7.279670669648993e-05
153,PDI,0.313333333,0.313333333,-0.005188269988612985
154,PDI,0.258666667,0.258666667,0.003820597553339816
155,PDI,0.286,0.286,0.003326696277147521
156,PDI,0.231666667,0.231666667,0.0016706685963694358
157,PDI,0.334,0.334,-0.0008439131923689108
158,PDI,0.396,0.396,-0.004778929702595163
159,PDI,0.366333333,0.366333333,-0.006840022630539258
160,PDI,0.477333333,0.477333333,-0.008062542896918252
161,PDI,0.330666667,0.330666667,-0.002560860356409789
162,PDI,0.313,0.313,-0.01740950950369998
163,PDI,0.302666667,0.302666667,-0.007578934624320026
164,PDI,0.251333333,0.251333333,0.002213931503400888
165,PDI,0.095333333,0.095333333,0.015197228712037
166,PDI,0.223666667,0.223666667,0.001312988998560746
167,PDI,0.3625,0.3625,-0.004719975765878357
168,PDI,0.315,0.315,-0.002414213969887759
169,PDI,0.393333333,0.393333333,-0.004806417811638513
170,PDI,0.289333333,0.289333333,0.0002584809588077957
171,PDI,0.339666667,0.339666667,-0.013167237975927615
172,PDI,0.245,0.245,0.002771972387538527
173,PDI,0.241333333,0.241333333,0.005517184751873924
174,PDI,0.152666667,0.152666667,0.014110224380587882
175,PDI,0.6,0.6,-0.010573339091588587
176,PDI,0.341,0.341,-0.004891066926539496
177,PDI,0.512,0.512,-0.003993247534919335
178,PDI,0.328666667,0.328666667,-0.0042471255186249755
179,PDI,0.391333333,0.391333333,-0.004857120789307891
180,PDI,0.407666667,0.407666667,-0.00789570688294375
181,PDI,0.306,0.306,-0.015747454577697606
182,PDI,0.264333333,0.264333333,0.012217225415682173
183,PDI,0.18,0.18,0.008556379705145212
184,PDI,0.205,0.205,0.0031130907128266603
185,PDI,0.574666667,0.574666667,-0.007399579814635468
186,PDI,0.133666667,0.133666667,-0.0019360970238871855
187,PDI,0.154666667,0.154666667,0.0027872073993456185
188,PDI,0.546333333,0.546333333,-0.012287948456749216
189,PDI,0.121,0.121,-0.008845509098311449
190,PDI,0.392,0.392,-0.007233769147701638
191,PDI,0.139666667,0.139666667,-0.0057168306976736385
192,PDI,0.434666667,0.434666667,-0.004821061193443003
193,PDI,0.280666667,0.280666667,-0.0008176811567815291
194,PDI,0.464333333,0.464333333,0.002988717911758941
195,PDI,0.403333333,0.403333333,0.0020379255202389577
196,PDI,0.496333333,0.496333333,-0.0004658653341241187
197,PDI,0.211,0.211,0.0035106832528556467
198,PDI,0.237333333,0.237333333,0.001809357266913399
199,PDI,0.246666667,0.246666667,0.004818546142705614
200,PDI,0.215,0.215,-0.0010573605330065994
201,PDI,0.260333333,0.260333333,0.0016501750489389714
202,PDI,0.219666667,0.219666667,-0.00043083574792160466
203,PDI,0.164666667,0.164666667,-0.011566685948819058
204,PDI,0.225333333,0.225333333,-0.007089420735597453
205,PDI,0.344333333,0.344333333,0.0018880793072725333
206,PDI,0.316,0.316,0.0006999658437490415
207,PDI,0.264,0.264,0.002104376542365497
208,PDI,0.182,0.182,0.0027671924789123455
209,PDI,0.242,0.242,0.004763998255429461
210,PDI,0.328333333,0.328333333,0.007883596659763379
211,PDI,0.206666667,0.206666667,0.008351418723787566
212,PDI,0.193666667,0.193666667,0.011467679146321647
213,PDI,0.484666667,0.484666667,0.0013229037652839508
214,PDI,0.162,0.162,0.006247874309730798
215,PDI,0.206,0.206,0.006717169681998512
216,PDI,0.294,0.294,-0.0021227402425491562
217,PDI,0.557666667,0.557666667,-0.02889717535541526
218,PDI,0.220333333,0.220333333,0.0013668888850567153
219,PDI,0.233333333,0.233333333,0.0026514551098383867
220,PDI,0.427666667,0.427666667,0.0006565181336483696
221,PDI,0.256333333,0.256333333,0.006606571268215282
222,PDI,0.173666667,0.173666667,-0.003056347004616002
223,PDI,0.229333333,0.229333333,-0.003618609665875944
224,PDI,0.420666667,0.420666667,-0.004782878641429319
225,PDI,0.358,0.358,-0.0005721425993281636
226,PDI,0.522,0.522,-0.008431854124424194
227,PDI,0.262666667,0.262666667,0.0010160878376953674
228,PDI,0.327666667,0.327666667,-0.002576891415646503
229,PDI,0.197333333,0.197333333,0.002491970997247451
230,PDI,0.275,0.275,0.006144163576973639
231,PDI,0.266,0.266,0.003304617444879931
232,PDI,0.208666667,0.208666667,0.00935820601622763
233,PDI,0.237,0.237,0.0029977850926367526
234,PDI,0.327,0.327,-0.016177249112641852
235,PDI,0.569,0.569,-0.030534868662042323
236,PDI,0.17,0.17,0.009940632062065835
237,PDI,0.330333333,0.330333333,-0.0057596550365650164
238,PDI,0.196,0.196,0.009932086932979561
239,PDI,0.268,0.268,0.0075415330164770875
240,PDI,0.254,0.254,0.0069238440615474635
241,PDI,0.261666667,0.261666667,0.007771736146988477
242,PDI,0.183666667,0.183666667,0.014020707438611313
243,PDI,0.187333333,0.187333333,0.013845066808896963
244,PDI,0.31,0.31,-0.001230163241511179
245,PDI,0.485666667,0.485666667,0.0069832647977988915
246,PDI,0.368333333,0.368333333,-0.011972013287051811
247,PDI,0.275333333,0.275333333,0.0014494900691500508
248,PDI,0.236666667,0.236666667,0.0015389586702985378
249,PDI,0.303666667,0.303666667,-0.0009012844877460761
250,PDI,0.236333333,0.236333333,0.003538409808729327
251,PDI,0.232,0.232,-0.0009769407160296402
252,PDI,0.260666667,0.260666667,0.005252762826558583
253,PDI,0.307666667,0.307666667,1.5724498381162024e-05
254,PDI,0.245666667,0.245666667,0.002221851354800251
255,PDI,0.184333333,0.184333333,0.01674411259412361
256,PDI,0.24,0.24,0.004757480934011315
257,PDI,0.433333333,0.433333333,0.004540677953482208
258,PDI,0.246333333,0.246333333,0.006310951216237582
259,PDI,0.288333333,0.288333333,-5.2430472150252825e-05
260,PDI,0.201666667,0.201666667,0.004841710547300317
261,PDI,0.204333333,0.204333333,8.444991506724561e-05
262,PDI,0.244333333,0.244333333,-0.008796380251965495
263,PDI,0.21,0.21,0.008471657327906272
264,PDI,0.167333333,0.167333333,-5.964812713749618e-05
265,PDI,0.203,0.203,0.0013862471874518433
266,PDI,0.501,0.501,0.0032894987796496266
267,PDI,0.279,0.279,0.0017347086939930381
268,PDI,0.165333333,0.165333333,0.008320786944149377
269,PDI,0.185333333,0.185333333,0.0034080048095200756
270,PDI,0.199,0.199,0.012310473823104188
271,PDI,0.207,0.207,0.012975173345348444
272,PDI,0.481666667,0.481666667,-0.005437290754476632
273,PDI,0.428,0.428,-0.0032177285869322207
274,PDI,0.157333333,0.157333333,0.007962323544319536
275,PDI,0.263333333,0.263333333,0.017884266999950844
276,PDI,0.228333333,0.228333333,0.001748739596413252
277,PDI,0.208,0.208,0.023900000379212943
278,PDI,0.209333333,0.209333333,0.007250796646010492
279,PDI,0.219,0.219,0.006627659010354252
280,PDI,0.272333333,0.272333333,0.004479913699883829
281,PDI,0.439666667,0.439666667,0.002766357380068809
282,PDI,0.281,0.281,-0.003122926544518759
283,PDI,0.168333333,0.168333333,0.012812584868162823
284,PDI,0.198666667,0.198666667,0.003222096717397146
285,PDI,0.335333333,0.335333333,-0.004144934253433521
286,PDI,0.255,0.255,0.0049889781698898225
287,PDI,0.178,0.178,0.0113336468503868
288,PDI,0.577,0.577,-0.013019231605833988
289,PDI,0.409333333,0.409333333,-0.0026275017203822508
290,PDI,0.193,0.193,0.000273303556472306
291,PDI,0.370333333,0.370333333,-0.006302934329198096
292,PDI,0.144333333,0.144333333,0.0012495981543188294
