Feature,HepG2_Norm_Feature_Value,PC3_Norm_Feature_Value,B16_Norm_Feature_Value,N2a_Norm_Feature_Value,HEK293_Norm_Feature_Value,ARPE19_Norm_Feature_Value
P_charged_centers,1.0,0.0,1.0,1.0,1.0,1.0
N_charged_centers,0.0,0.0,0.0,0.0,0.0,1.0
Double_bonds,0.5,0.0,1.0,1.0,1.0,
NP_ratio,1.0,1.0,1.0,0.0,1.0,0.5
Dlin-MC3_Helper lipid_ratio,0.0,0.0,0.04522613065326633,0.0,0.04522613065326633,0.0
Dlin-MC3+Helper lipid percentage,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0
Chol_DMG-PEG_ratio,0.1836734693877551,0.1836734693877551,0.1836734693877551,1.0,0.1836734693877551,0.1836734693877551
Zeta,0.9444444444444445,0.5555555555555556,0.9444444444444445,0.0555555555555555,,0.16666666666666663
cLogP,,,,0.5729476153244722,,0.5729476153244722
Hbond_D,,,,0.6666666666666666,,0.6666666666666666
Hbond_A,,,,0.8333333333333334,,
Size,,,,0.2777777777777778,,0.2777777777777778
PDI,,,,0.037151702809381855,,0.32445820329687813
