,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10343999999999999,0.009121754217254486,0.8050620103401167,0.02773956121291631,0.812368385043299,0.030658468640968623,0.0
1,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10322,0.009220173534158672,0.806020344981188,0.029277111193003396,0.8133792533666702,0.03117742474790327,0.01
2,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10457999999999998,0.009088652265325152,0.8039291716610102,0.027357012631940295,0.8087986045697891,0.031171994757042704,0.02
3,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.11963999999999998,0.009008351680524024,0.7653155280557943,0.030053798702564884,0.7429125422930973,0.03661069806434,0.03
4,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.11898,0.008905032285174494,0.7661871836436471,0.029613776333550276,0.743352454502478,0.04204707356144443,0.04
5,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.11978,0.009370784385525048,0.7713336463255475,0.030485456406142503,0.7264229399522172,0.04216527410985775,0.05
6,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.19682,0.010873251583588048,0.34230977835137316,0.0642575180973623,0.33747304735964156,0.06308429557058594,0.06
7,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.20054,0.009535638415963556,0.3331093699757697,0.061620389672737017,0.3373283355261837,0.0650288517584474,0.07
8,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.21372,0.009280172412191489,0.21299711365004753,0.052941645669421764,0.24878852979471475,0.0464923534522401,0.08
9,2,"['P_charged_centers', 'NP_ratio']",0.21449999999999997,0.00937709976485267,0.18632005499529494,0.06070463651342553,0.2551728235401485,0.04215289231813913,0.09
10,1,['P_charged_centers'],0.21402000000000002,0.00917276403272209,0.2645547492329751,0.048725572698600686,0.26696250997328946,0.04392919894374863,0.1
