,RLU_ARPE19
0,0.17490196078431364
1,0.15823529411764703
2,0.0
3,0.0
4,0.008823529411764675
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.4896078431372548
13,0.4896078431372548
14,0.4105882352941177
15,0.04294117647058815
16,0.2078431372549019
17,0.23019607843137257
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.4798039215686274
25,0.5021568627450981
26,0.3584313725490197
27,0.30470588235294116
28,0.383529411764706
29,0.3647058823529412
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.22098039215686271
37,0.10313725490196068
38,0.008823529411764675
39,0.0
40,0.008823529411764675
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.439607843137255
61,0.4117647058823528
62,0.14921568627450976
63,0.3647058823529412
64,0.46019607843137256
65,0.11450980392156862
66,0.0
67,0.09745098039215683
68,0.0
69,0.0
70,0.0
71,0.0
72,0.45843137254901967
73,0.4019607843137255
74,0.1350980392156862
75,0.3280392156862745
76,0.08509803921568626
77,0.11450980392156862
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.40313725490196084
85,0.4694117647058824
86,0.17490196078431364
87,0.5137254901960784
88,0.39803921568627454
89,0.0505882352941176
90,0.0505882352941176
91,0.04294117647058815
92,0.0
93,0.0
94,0.0
95,0.0
96,0.2362745098039215
97,0.16254901960784318
98,0.2362745098039215
99,0.22725490196078424
100,0.30470588235294116
101,0.2635294117647059
102,0.3280392156862745
103,0.3631372549019608
104,0.2362745098039215
105,0.3127450980392156
106,0.3849019607843137
107,0.35215686274509805
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.008823529411764675
129,0.0
130,0.0
131,0.22098039215686271
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.1939215686274509
140,0.12509803921568619
141,0.0
142,0.0
143,0.1350980392156862
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0505882352941176
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.08509803921568626
167,0.10313725490196068
168,0.0
169,0.19019607843137254
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.5035294117647058
181,0.6982352941176471
182,0.6635294117647059
183,0.38764705882352946
184,0.6284313725490196
185,0.7509803921568627
186,0.4762745098039216
187,0.0505882352941176
188,0.422156862745098
189,0.0
190,0.0
191,0.0
192,0.6862745098039216
193,0.7239215686274509
194,0.7127450980392156
195,0.4278431372549021
196,0.49431372549019614
197,0.6270588235294119
198,0.24196078431372547
199,0.2078431372549019
200,0.4545098039215685
201,0.0
202,0.0
203,0.10313725490196068
204,0.7139215686274509
205,0.38215686274509797
206,0.6454901960784314
207,0.2333333333333334
208,0.28294117647058814
209,0.26607843137254905
210,0.0
211,0.034901960784313624
212,0.2009803921568628
213,0.0
214,0.0
215,0.06509803921568624
216,0.2782352941176469
217,0.3127450980392156
218,0.38215686274509797
219,0.1974509803921568
220,0.2805882352941176
221,0.43313725490196076
222,0.09137254901960778
223,0.08509803921568626
224,0.1788235294117646
225,0.22098039215686271
226,0.3568627450980393
227,0.4847058823529413
228,0.9615686274509805
229,0.6898039215686274
230,0.5552941176470587
231,0.7672549019607844
232,0.5452941176470587
233,0.5262745098039217
234,0.2333333333333334
235,0.8135294117647058
236,0.8798039215686275
237,0.9584313725490197
238,0.8637254901960785
239,0.9441176470588237
240,0.894313725490196
241,0.6376470588235295
242,0.5815686274509804
243,0.8401960784313727
244,0.9478431372549019
245,0.8294117647058825
246,1.0
247,0.865294117647059
248,0.6737254901960785
249,0.35529411764705887
250,0.2919607843137254
251,0.43647058823529417
252,0.6931372549019608
253,0.4982352941176471
254,0.5282352941176471
255,0.4629411764705882
256,0.5221568627450981
257,0.7666666666666668
258,0.3205882352941176
259,0.3205882352941176
260,0.4068627450980392
261,0.0
262,0.0
263,0.0
264,0.14470588235294113
265,0.18274509803921568
266,0.0
267,0.0
268,0.2635294117647059
269,0.1939215686274509
270,0.12509803921568619
271,0.0
272,0.07196078431372543
273,0.24196078431372547
274,0.0
275,0.4831372549019608
276,0.614313725490196
277,0.5974509803921568
278,0.44470588235294106
279,0.6752941176470588
280,0.7100000000000002
281,0.773529411764706
282,0.7992156862745097
283,0.6311764705882354
284,0.493529411764706
285,0.7584313725490197
286,0.5790196078431373
287,0.5109803921568628
288,0.9547058823529413
289,0.7823529411764707
290,0.6262745098039215
291,0.6109803921568626
292,0.5713725490196078
293,0.6288235294117648
294,0.6429411764705883
295,0.44156862745098024
296,0.6594117647058824
297,0.7852941176470589
298,0.7258823529411764
299,0.6874509803921569
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.3147058823529413
346,0.0
347,0.04294117647058815
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.41294117647058814
358,0.0
359,0.4374509803921569
360,0.36764705882352944
361,0.52
362,0.33862745098039215
363,0.37784313725490193
364,0.4005882352941177
365,0.1198039215686274
366,0.3107843137254902
367,0.5101960784313726
368,0.0
369,0.0
370,0.0
371,0.0
372,0.6352941176470588
373,0.6319607843137256
374,0.0
375,0.25568627450980397
376,0.4780392156862745
377,0.15823529411764703
378,0.0
379,0.45058823529411773
380,0.2941176470588235
381,0.0
382,0.16254901960784318
383,0.1707843137254902
384,0.537843137254902
385,0.45843137254901967
386,0.22411764705882342
387,0.449607843137255
388,0.5109803921568628
389,0.2333333333333334
390,0.22725490196078424
391,0.17490196078431364
392,0.1537254901960784
393,0.04294117647058815
394,0.1198039215686274
395,0.2045098039215686
396,0.4176470588235295
397,0.30666666666666664
398,0.0
399,0.3662745098039216
400,0.33156862745098037
401,0.034901960784313624
402,0.4188235294117648
403,0.34039215686274504
404,0.34392156862745094
405,0.39431372549019605
406,0.34215686274509804
407,0.17490196078431364
408,0.5707843137254902
409,0.3205882352941176
410,0.11450980392156862
411,0.5686274509803921
412,0.7198039215686276
413,0.22725490196078424
414,0.5529411764705883
415,0.6066666666666667
416,0.5207843137254902
417,0.41647058823529415
418,0.6235294117647059
419,0.49588235294117644
420,0.6435294117647059
421,0.34215686274509804
422,0.0
423,0.0
424,0.7927450980392157
425,0.8149019607843138
426,0.034901960784313624
427,0.766078431372549
428,0.6850980392156862
429,0.07862745098039203
430,0.06509803921568624
431,0.14470588235294113
432,0.6539215686274511
433,0.4343137254901961
434,0.0
435,0.0505882352941176
436,0.716078431372549
437,0.672156862745098
438,0.3901960784313726
439,0.1198039215686274
440,0.6198039215686273
441,0.0505882352941176
442,0.1537254901960784
443,0.07196078431372543
444,0.7384313725490197
445,0.34215686274509804
446,0.0
447,0.8664705882352941
448,0.8650980392156864
449,0.6394117647058823
450,0.8776470588235294
451,0.7845098039215688
452,0.7678431372549022
453,0.1788235294117646
454,0.23921568627450973
455,0.05803921568627446
456,0.6833333333333333
457,0.10882352941176465
458,0.0
459,0.5145098039215685
460,0.5790196078431373
461,0.7566666666666666
462,0.42999999999999994
463,0.432156862745098
464,0.4611764705882353
465,0.0
466,0.43529411764705883
467,0.0
468,0.664705882352941
469,0.33156862745098037
470,0.0
471,0.8282352941176472
472,0.5366666666666666
