,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.052300000000000006,0.005227810249043093,0.7834916506415329,0.03520994591594214,0.8599241853872683,0.031116202387473292,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05224,0.005053948951067868,0.7838195657568251,0.03529026187649124,0.8602052446539493,0.031059995104562057,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05231999999999999,0.005166972033986636,0.7828952331604171,0.03556828555738058,0.8598861697743553,0.031136853924619613,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05228,0.005272722257050906,0.7833639299635687,0.035314809692889526,0.8598667789823125,0.03135344698211743,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05222,0.005135328616554154,0.7842323505538701,0.03388617926061974,0.8605403261250492,0.03048346228713252,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.05128,0.004804331379078675,0.7890024862428688,0.030556185374322295,0.8681448787867138,0.027042718909794036,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.06994,0.005438418887875407,0.7570708292266256,0.03686883719494663,0.7627060225544353,0.03369276095074462,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09008,0.006962298471051063,0.6461341352665012,0.04685051110529465,0.5972958578240329,0.03873102881420246,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09117999999999998,0.006580851008798179,0.6347236179418243,0.04155199310529205,0.5732398557103322,0.04228072653077606,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09344,0.0063282224992489014,0.6072741103937427,0.03973663600240416,0.56933605314513,0.046259215366335996,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.10672000000000002,0.00686451746301224,0.46560851332635184,0.04537281880251226,0.4168019070644516,0.03200990383292844,0.1
11,1,['P_charged_centers'],0.10845999999999999,0.006585468851949723,0.485101430991721,0.03196816640438311,0.40030311089145987,0.026865047795666463,0.11
