,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.050039999999999994,0.004906974628016738,0.8068568024143876,0.02543318587384515,0.8782839597214841,0.028696685969726562,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05,0.004907137658554119,0.8067642400886657,0.02560823034460907,0.8783633994882452,0.028794935962354225,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05005999999999999,0.004941295376720561,0.8067137320801744,0.025354431540513405,0.8783188381347568,0.028593709366805938,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.050039999999999994,0.004923250958462305,0.8065444400221153,0.025536606995990727,0.8782514382711978,0.02872454376622345,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.05013999999999999,0.004935625593579805,0.8056285495228116,0.025965554215344824,0.8779296965988184,0.02857048936759931,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.047299999999999995,0.004725462940284264,0.8174486785680652,0.025213511572949772,0.8931237086527407,0.022598483275316977,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.09326000000000001,0.006895824823761114,0.6517699901383412,0.03940347489147508,0.587031493461533,0.04390968219350601,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09254,0.007489218917884562,0.6189822336192878,0.043592337421489775,0.5718644841971109,0.04452079112433631,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09115999999999999,0.006534095193674485,0.6341160413828265,0.039449331027765246,0.5732657553609392,0.04214629581038501,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09344,0.0063282224992489014,0.6072741103937427,0.03973663600240416,0.5693360530647719,0.04625921538146566,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.10672000000000002,0.00686451746301224,0.46560851332635184,0.04537281880251226,0.41680190687979873,0.032009904062911466,0.1
11,1,['P_charged_centers'],0.10845999999999999,0.006585468851949723,0.485101430991721,0.03196816640438311,0.4003031108914598,0.02686504779566638,0.11
