,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.039119999999999995,0.005354026522160681,0.5680639043769311,0.04831230055420043,0.8472321906215174,0.03660864868438835,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.03916,0.005416124075388228,0.5661935810957707,0.0464052299583314,0.8480608724169956,0.03537078316244152,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04146000000000001,0.0044236184283909475,0.5650078878610559,0.05116330920539222,0.8299250475987578,0.03460758938837749,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.041440000000000005,0.004481785358537375,0.5641667911364339,0.04750944509301845,0.8295523544658225,0.03643820297555274,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04207999999999999,0.004063692901782811,0.5553596329856633,0.05042080569980704,0.8273700094774853,0.03380530208483238,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.041159999999999995,0.004478213929682234,0.5730228474744488,0.050251333731035526,0.8360498703203179,0.03779111220556527,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0713,0.0072367119605522496,0.45749696703804305,0.047330642715921196,0.494953628485004,0.07009074215880197,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.06412,0.007098281482161721,0.4607250579744811,0.052812204655247205,0.5530343082954605,0.0732714421589645,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.08412000000000001,0.006944465422190537,0.3526389166926952,0.04688236535497546,0.3067528473869529,0.05286071187964561,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.08534000000000001,0.007092559481597599,0.36256522917826184,0.0471395195287038,0.33161032469038304,0.05412363160137414,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.09108000000000001,0.006916183918896317,0.25918088650471394,0.05373645076244349,0.25196999084009797,0.03674372727543188,0.1
11,1,['P_charged_centers'],0.09162000000000001,0.006910542670442026,0.26414092765969,0.039609661205843694,0.2540196797457377,0.026315655328569228,0.11
