,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.040780000000000004,0.004446526734429919,0.5947584519239368,0.04493224586851364,0.8572841938542389,0.02907028282321302,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04088,0.004357246837166789,0.5916822735559518,0.04424495581811349,0.8575858332005033,0.02927779715883876,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.042879999999999995,0.00436641729567846,0.5853947306464459,0.05037113807892844,0.8457246246906839,0.034977595382824356,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04284000000000001,0.004295858470666835,0.5846600746414601,0.05016560218796609,0.8451844144718005,0.03514261851261518,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04318,0.004264692251499515,0.5801909803911119,0.05160137991145362,0.8440505258771113,0.03352174685854602,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.0425,0.004001249804748511,0.5907697998163547,0.04871292383635274,0.849892676118983,0.029893774533629503,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.0667,0.0065886265640116536,0.5122497924283207,0.05002949456365484,0.5790646874384405,0.06558662866911552,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.066,0.006979971346646059,0.4702647953304716,0.05302778982549921,0.5567063605574257,0.07108544708186397,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.08608,0.006985241584941784,0.35113491712488,0.047649759828446686,0.30567243080596945,0.0525734034790521,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.08720000000000003,0.006991423317179414,0.36270507030445037,0.04739684365734054,0.3316250671620166,0.05422960546014634,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.09273999999999999,0.006784718122368829,0.2593456396636926,0.053813516355182625,0.2517294639167877,0.03686977846948467,0.1
11,1,['P_charged_centers'],0.09329999999999998,0.006833008122342605,0.26414092765969,0.039609661205843694,0.2540196797457379,0.026315655328569176,0.11
