,RLU_N2a
0,0.4249798332885183
1,0.4131486958859909
2,0.20744823877386398
3,0.27641839204087115
4,0.3096262436138747
5,0.2061037913417586
6,0.2500672223716053
7,0.2102715783812853
8,0.3861253025006721
9,0.06265125033611185
10,0.19077709061575687
11,0.33288518418929813
12,0.3705297122882495
13,0.3468674374831944
14,0.23917719817155147
15,0.21847270771712823
16,0.23581607959128792
17,0.20462489916644255
18,0.2600161333691853
19,0.2667383705297123
20,0.2551761226136058
21,0.2746706103791342
22,0.2910728690508201
23,0.3518418929819843
24,0.24791610648023665
25,0.26579725732723847
26,0.1599892444205432
27,0.30142511427803165
28,0.23917719817155147
29,0.1954826566281258
30,0.27735950524334496
31,0.2531594514654477
32,0.295509545576768
33,0.17168593707986013
34,0.29631621403603114
35,0.3272385049744555
36,0.30142511427803165
37,0.22492605539123423
38,0.13041140091422432
39,0.31809626243613864
40,0.2807206238236085
41,0.29335842968539927
42,0.36878193062651254
43,0.4131486958859909
44,0.4384243076095724
45,0.3483463296585103
46,0.3830330734068298
47,0.5260822801828449
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.034686743748319426
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.3599085775746167
61,0.29174509276687277
62,0.127856950793224
63,0.3102984673299274
64,0.02393116429147618
65,0.18069373487496643
66,0.3109706910459801
67,0.20892713094917992
68,0.30626512503361114
69,0.22613605808012904
70,0.0668190373756386
71,0.2871739714977144
72,0.3909653132562517
73,0.28636730303845115
74,0.19400376445280987
75,0.3236084969077708
76,0.21847270771712823
77,0.22237160527023392
78,0.21175047055660123
79,0.23339607421349817
80,0.28636730303845115
81,0.27641839204087115
82,0.16200591556870125
83,0.2910728690508201
84,0.405216456036569
85,0.295509545576768
86,0.20314600699112662
87,0.36488303307340686
88,0.29174509276687277
89,0.25907502016671136
90,0.2531594514654477
91,0.3006184458187684
92,0.27897284216187146
93,0.34632965851035213
94,0.2500672223716053
95,0.2910728690508201
96,0.2871739714977144
97,0.09922022048937884
98,0.06265125033611185
99,0.3211884915299812
100,0.14022586716859375
101,0.1493681097069104
102,0.3791341758537241
103,0.35426189835977406
104,0.018150040333422934
105,0.4179887066415703
106,0.25114278031728965
107,0.23339607421349817
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.029443398763108364
125,0.0668190373756386
126,0.0
127,0.11992471094380208
128,0.13538585641301415
129,0.02393116429147618
130,0.03979564399031993
131,0.2198171551492336
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.13041140091422432
140,0.0
141,0.03979564399031993
142,0.14251142780317283
143,0.17706372680828175
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.1253025006722237
152,0.0
153,0.0892713094917989
154,0.15367034148964775
155,0.20744823877386398
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0060500134444743114
161,0.0
162,0.14022586716859375
163,0.14022586716859375
164,0.0
165,0.2684861521914492
166,0.25719279376176396
167,0.1493681097069104
168,0.07461683248184997
169,0.26109169131486953
170,0.049341220758268356
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.44151653670341484
181,0.41005646679214836
182,0.34108631352514107
183,0.32831406292013976
184,0.28865286367303034
185,0.18405485345522987
186,0.36300080666845924
187,0.22613605808012904
188,0.2061037913417586
189,0.034686743748319426
190,0.0
191,0.0
192,0.4865555256789459
193,0.412207582683517
194,0.3426996504436677
195,0.3791341758537241
196,0.2855606345791879
197,0.3218607152460339
198,0.31554181231513845
199,0.2977951062113471
200,0.2977951062113471
201,0.2894595321322936
202,0.1253025006722237
203,0.2198171551492336
204,0.44407098682441515
205,0.4045442323205163
206,0.3211884915299812
207,0.3378596396880882
208,0.26297391771981715
209,0.2711750470556601
210,0.3205162678139285
211,0.26203280451734334
212,0.24253831675181503
213,0.3034417854261897
214,0.07461683248184997
215,0.137805861790804
216,0.5373756386125301
217,0.4275342834095186
218,0.3367840817424038
219,0.41287980639956967
220,0.3695885990857757
221,0.2999462221027157
222,0.4249798332885183
223,0.4045442323205163
224,0.4034686743748319
225,0.61938693197096
226,0.5264856144124764
227,0.47741328314062914
228,0.40844312987362197
229,0.7522183382629739
230,0.6552836784081741
231,0.7245227211616023
232,0.8521107824684053
233,0.800752890561979
234,0.9169131486958859
235,0.7773595052433449
236,0.8088195751546114
237,0.9533476741059423
238,0.9442054315676256
239,0.8815541812315137
240,0.36743748319440706
241,0.28314062920139815
242,0.1734337187415972
243,0.2500672223716053
244,0.25208389351976335
245,0.22990051089002417
246,0.2721161602581339
247,0.18916375369723037
248,0.332347405216456
249,0.13538585641301415
250,0.11992471094380208
251,0.3265662812584028
252,0.35426189835977406
253,0.29631621403603114
254,0.2061037913417586
255,0.2721161602581339
256,0.2531594514654477
257,0.27641839204087115
258,0.2684861521914492
259,0.1970959935466523
260,0.029443398763108364
261,0.0583490185533746
262,0.08214573810164022
263,0.0959935466523259
264,0.40682979295509536
265,0.2948373218607152
266,0.31365958591019094
267,0.28636730303845115
268,0.31365958591019094
269,0.27386394191987085
270,0.35076633503630006
271,0.26297391771981715
272,0.2381016402258671
273,0.31164291476203276
274,0.14022586716859375
275,0.5336111858026351
276,0.4647754772788383
277,0.3168862597472438
278,0.3643452541005646
279,0.4877655283678408
280,0.39567087926862055
281,0.3861253025006721
282,0.6293358429685398
283,0.5131755848346329
284,0.3705297122882495
285,0.767948373218607
286,0.608228018284485
287,0.5502823339607421
288,0.8124495832212959
289,0.7996773326162947
290,0.6575692390427534
291,0.9236353858564128
292,0.7848884108631351
