,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.06836,0.005074485195564175,0.8729151008787476,0.023732254607281043,0.8919863575126612,0.02251379495693592,0.0
1,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.06836,0.005074485195564175,0.8729151008787476,0.023732254607281043,0.8919863575126612,0.02251379495693592,0.01
2,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.06848000000000001,0.005246865731081746,0.8731570330124218,0.022727772226455986,0.8921207942073037,0.022913837899658056,0.02
3,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07795999999999999,0.005979832773581549,0.840668408144237,0.026909421177479693,0.8363394324758774,0.039332785022322375,0.03
4,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.07746,0.0072089111521782545,0.8462594796762869,0.030133883455460496,0.8303414544799494,0.04744763157928442,0.04
5,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08535999999999999,0.009251507985188144,0.8232575953744735,0.03200529877848446,0.7636635662092277,0.05824455380011149,0.05
6,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15802000000000002,0.010058807086329872,0.3336846192847822,0.07302252101678638,0.47915349404582774,0.07529486840720843,0.06
7,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.17145999999999997,0.008390971338289742,0.1505479042983805,0.0556099833723679,0.12962709748387946,0.05726556020855931,0.07
8,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.16821999999999998,0.008619257508625668,0.14760033643923517,0.06964767001111141,0.1885785040012757,0.0615909407400998,0.08
9,2,"['P_charged_centers', 'NP_ratio']",0.16808,0.00843762999899853,0.15222317236143895,0.06921922038654607,0.20576242191344818,0.05814437520837339,0.09
10,1,['P_charged_centers'],0.16724,0.008276617666655864,0.21399223228194889,0.07321837735783146,0.22221470964180476,0.057507269546496056,0.1
