,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04826,0.0074881506395103985,0.6693092837916937,0.04362861279176105,0.842658205832501,0.033763472240624356,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04739999999999999,0.007326663633605681,0.6586722228967729,0.04527445675720172,0.8515378005929699,0.03720308858478981,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04789999999999999,0.006232976816898968,0.6594438469546052,0.0413651919042202,0.8476928754623357,0.03447520355967406,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04722,0.007451952764208856,0.655500729534081,0.042562326679258855,0.8528950395582434,0.039082737377804835,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04826,0.00652015337242921,0.6603291323443581,0.03900881819440624,0.844558997903172,0.033914357293100376,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.05121999999999999,0.006794968726933186,0.6393841523460038,0.04437754548611791,0.8317143587987076,0.03451500311595799,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.05894,0.006649541337566073,0.5751007574347526,0.05472476281032553,0.7959739450279565,0.03984014394882516,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.06036,0.0063301184823034715,0.5585605592671229,0.048308059861008966,0.7891452677388113,0.035592171729810725,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09046,0.009312808384155663,0.5166965328488892,0.04252072153833152,0.5596896688319973,0.045809817538352914,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09468,0.009731269187521225,0.5051564978774988,0.04576738281590182,0.5389645668153557,0.04761157709302443,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.12412,0.009626297315167448,0.30464248233334507,0.05041255828711818,0.28356698953091436,0.030909359853572824,0.1
11,1,['P_charged_centers'],0.12527999999999997,0.009451010527980594,0.32272692601867886,0.03241888439276036,0.2834151278488281,0.0221930045769191,0.11
