,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.045680000000000005,0.0057599999999999995,0.6019428662047691,0.03852647268719689,0.8601302275767081,0.0326614152693577,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.045680000000000005,0.0057599999999999995,0.6019463998122917,0.038525651821292355,0.8601297778227497,0.032661552431223026,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04582,0.005729537503149796,0.604810946203016,0.04016933050782137,0.8597023618839339,0.03310583178439574,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.045840000000000006,0.005745815868960647,0.6013403990524467,0.04025257696185131,0.8591935082667227,0.03295214512288972,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.045720000000000004,0.005782871259158377,0.5956072451676248,0.044306663528793776,0.8600038253248321,0.03303500600289539,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.042719999999999994,0.006545349494106484,0.5963897945850593,0.040897576705934476,0.8764174060160725,0.0325369566664723,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.05862,0.006826096981438222,0.5419049954164357,0.04938219452078872,0.7702077437662633,0.043647802246353874,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.05978000000000001,0.0064320758701992935,0.5165337220094844,0.04985887191097377,0.785405892104224,0.03734101187433948,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.08878,0.00939636099774801,0.5139190789347737,0.04241989389928176,0.5605067236516387,0.04542205689970499,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09273999999999999,0.009639107842533976,0.5051564978774988,0.04576738281590182,0.5389643185954863,0.047613837131117914,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.11981999999999998,0.009825863829709836,0.30464248233334507,0.05041255828711818,0.28356906252309155,0.03091044032777383,0.1
11,1,['P_charged_centers'],0.12081999999999998,0.009690593377084812,0.32272692601867886,0.03241888439276036,0.2834151278488281,0.022193004576919174,0.11
