,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04558000000000001,0.005983610949919789,0.6137905098191445,0.04003802640631649,0.8849000543724297,0.027854269758400673,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.045599999999999995,0.005993329625508679,0.6134412386407718,0.04008644382088805,0.8849241497746049,0.027868702909387,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.045579999999999996,0.005980267552543113,0.6141642908758668,0.03976159840363896,0.8848561780118521,0.02778242106407845,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.0455,0.005933801479658719,0.612027508666554,0.040223731581125174,0.8847498966454665,0.027754468056484873,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04548,0.005882992435827196,0.6106597511782347,0.040463277070877886,0.884845516029777,0.02784844274032918,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.043379999999999995,0.00587159262892105,0.6074462788427784,0.038007534236613114,0.8924280769509559,0.025174461105532387,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.05534000000000001,0.006240544848008065,0.5865283245424942,0.040517557147413,0.8253307001474528,0.03166294630668166,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.06024,0.0059583890440285964,0.5478830310169079,0.04436049964647715,0.7927462006397599,0.03538603291335509,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09050000000000001,0.009387757985802575,0.5170565909038113,0.042260535909790044,0.5593933387584333,0.04588556555172933,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09468,0.00965699746297989,0.5046568780438746,0.04600158404759628,0.5389757264039248,0.047593088042216646,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.12436,0.009645226798784984,0.30502855703385434,0.050632360586131575,0.28374871894079723,0.030775686555539108,0.1
11,1,['P_charged_centers'],0.12542,0.009522793707730941,0.32272692601867886,0.03241888439276036,0.2834151278488281,0.02219300457691907,0.11
