group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0044,1.0,-0.0864,0.0775,False
DT,MLR,0.0799,0.062,-0.002,0.1619,False
DT,PLS,0.0722,0.1316,-0.0097,0.1541,False
DT,RF,-0.0011,1.0,-0.083,0.0809,False
DT,XGB,-0.0004,1.0,-0.0824,0.0815,False
DT,kNN,0.0273,0.9732,-0.0547,0.1092,False
DT,lasso,0.0867,0.0291,0.0048,0.1687,True
LGBM,MLR,0.0844,0.0383,0.0024,0.1663,True
LGBM,PLS,0.0766,0.0866,-0.0053,0.1586,False
LGBM,RF,0.0034,1.0,-0.0786,0.0853,False
LGBM,XGB,0.004,1.0,-0.0779,0.0859,False
LGBM,kNN,0.0317,0.9394,-0.0502,0.1137,False
LGBM,lasso,0.0912,0.017,0.0092,0.1731,True
MLR,PLS,-0.0077,1.0,-0.0897,0.0742,False
MLR,RF,-0.081,0.0553,-0.1629,0.0009,False
MLR,XGB,-0.0804,0.0592,-0.1623,0.0016,False
MLR,kNN,-0.0526,0.5181,-0.1346,0.0293,False
MLR,lasso,0.0068,1.0,-0.0751,0.0888,False
PLS,RF,-0.0733,0.1193,-0.1552,0.0087,False
PLS,XGB,-0.0726,0.1265,-0.1546,0.0093,False
PLS,kNN,-0.0449,0.7124,-0.1268,0.037,False
PLS,lasso,0.0146,0.9995,-0.0674,0.0965,False
RF,XGB,0.0006,1.0,-0.0813,0.0826,False
RF,kNN,0.0284,0.9667,-0.0536,0.1103,False
RF,lasso,0.0878,0.0256,0.0059,0.1698,True
XGB,kNN,0.0277,0.9706,-0.0542,0.1097,False
XGB,lasso,0.0872,0.0276,0.0052,0.1691,True
kNN,lasso,0.0595,0.3518,-0.0225,0.1414,False
