group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0095,0.6484,-0.0258,0.0069,False
DT,MLR,0.0643,0.0,0.048,0.0807,True
DT,PLS,0.0642,0.0,0.0478,0.0805,True
DT,RF,-0.0157,0.0699,-0.0321,0.0006,False
DT,XGB,-0.0142,0.1464,-0.0305,0.0022,False
DT,kNN,0.0349,0.0,0.0186,0.0513,True
DT,lasso,0.0639,0.0,0.0475,0.0802,True
LGBM,MLR,0.0738,0.0,0.0575,0.0902,True
LGBM,PLS,0.0737,0.0,0.0573,0.09,True
LGBM,RF,-0.0062,0.944,-0.0226,0.0101,False
LGBM,XGB,-0.0047,0.9888,-0.021,0.0117,False
LGBM,kNN,0.0444,0.0,0.0281,0.0608,True
LGBM,lasso,0.0733,0.0,0.057,0.0897,True
MLR,PLS,-0.0001,1.0,-0.0165,0.0162,False
MLR,RF,-0.08,0.0,-0.0964,-0.0637,True
MLR,XGB,-0.0785,0.0,-0.0948,-0.0621,True
MLR,kNN,-0.0294,0.0,-0.0457,-0.013,True
MLR,lasso,-0.0005,1.0,-0.0168,0.0159,False
PLS,RF,-0.0799,0.0,-0.0963,-0.0636,True
PLS,XGB,-0.0784,0.0,-0.0947,-0.062,True
PLS,kNN,-0.0293,0.0,-0.0456,-0.0129,True
PLS,lasso,-0.0003,1.0,-0.0167,0.016,False
RF,XGB,0.0016,1.0,-0.0148,0.0179,False
RF,kNN,0.0506,0.0,0.0343,0.067,True
RF,lasso,0.0796,0.0,0.0632,0.0959,True
XGB,kNN,0.0491,0.0,0.0327,0.0654,True
XGB,lasso,0.078,0.0,0.0617,0.0944,True
kNN,lasso,0.0289,0.0,0.0126,0.0453,True
