group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0001,1.0,-0.0948,0.0946,False
DT,MLR,0.0985,0.0347,0.0038,0.1932,True
DT,PLS,0.0969,0.0406,0.0022,0.1916,True
DT,RF,-0.0006,1.0,-0.0953,0.0941,False
DT,XGB,0.0003,1.0,-0.0944,0.095,False
DT,kNN,0.0297,0.9811,-0.0651,0.1244,False
DT,lasso,0.1181,0.0039,0.0234,0.2128,True
LGBM,MLR,0.0986,0.0344,0.0039,0.1933,True
LGBM,PLS,0.097,0.0403,0.0023,0.1917,True
LGBM,RF,-0.0005,1.0,-0.0952,0.0942,False
LGBM,XGB,0.0003,1.0,-0.0944,0.0951,False
LGBM,kNN,0.0297,0.9809,-0.065,0.1244,False
LGBM,lasso,0.1182,0.0039,0.0234,0.2129,True
MLR,PLS,-0.0016,1.0,-0.0963,0.0931,False
MLR,RF,-0.0991,0.0327,-0.1938,-0.0044,True
MLR,XGB,-0.0982,0.0356,-0.1929,-0.0035,True
MLR,kNN,-0.0689,0.3492,-0.1636,0.0259,False
MLR,lasso,0.0196,0.9985,-0.0751,0.1143,False
PLS,RF,-0.0975,0.0384,-0.1922,-0.0028,True
PLS,XGB,-0.0966,0.0417,-0.1913,-0.0019,True
PLS,kNN,-0.0672,0.3812,-0.162,0.0275,False
PLS,lasso,0.0212,0.9976,-0.0735,0.1159,False
RF,XGB,0.0009,1.0,-0.0939,0.0956,False
RF,kNN,0.0302,0.9789,-0.0645,0.1249,False
RF,lasso,0.1187,0.0037,0.024,0.2134,True
XGB,kNN,0.0294,0.9821,-0.0653,0.1241,False
XGB,lasso,0.1178,0.0041,0.0231,0.2125,True
kNN,lasso,0.0884,0.0877,-0.0063,0.1831,False
