,0,1,2,3,4,5,6,7,8,9
4,0.05603279490944688,0.056320362337885434,0.05160303487826723,0.051667278674734286,0.050783162142094926,0.04577826725403817,0.04665320605409755,0.05160303487826723,0.050495594713656375,0.04377447397311819
21,5.107104030747789e-05,1.8558038302363604e-05,5.013887631698123e-05,3.384657135410981e-05,2.9632471725022458e-05,1.5927163178094004e-05,0.0001013204960038717,6.347301670992155e-05,1.1703611502976107e-05,1.1779718177320096e-05
39,1.6648144375850909e-06,7.676849454422137e-06,7.47215812063432e-06,4.684284543908459e-06,2.473536050725224e-06,5.105513389642958e-06,6.0453672092910495e-06,3.826776029325681e-06,3.026624463189189e-06,5.119859671801314e-06
56,1.8416252357413468e-06,8.093958651002133e-07,1.3022261042883574e-06,1.2002173648530963e-06,1.5140146701364912e-06,1.2953660519674835e-06,1.0289852697556835e-06,8.689030317041506e-07,1.4936464840146046e-06,4.78752687819363e-07
74,8.415675281557873e-07,1.3929655682168719e-06,8.957110396727505e-07,1.0508761614436005e-06,5.04385624088521e-07,7.897137768256795e-07,6.113222834003892e-07,4.969779275842947e-07,5.499729769546932e-07,4.5751366120352086e-07
92,7.088256062543701e-07,5.234488055696058e-07,6.333275850510241e-07,6.809737212909705e-07,7.131460113248298e-07,6.368815040238007e-07,7.539708712336855e-07,5.009659282448355e-07,3.783942255282997e-07,4.003110663216392e-07
109,3.009483240002687e-07,3.9175712205916186e-07,4.768658018609772e-07,5.418625133969464e-07,3.4388825965821816e-07,4.623995096642373e-07,4.036221904909316e-07,3.765805551591916e-07,3.69096026096082e-07,2.7072676996967355e-07
127,4.0809058532619467e-07,4.613728210951241e-07,3.8923008482610825e-07,4.298786848666293e-07,2.512491690775846e-07,6.610982211712076e-07,1.89131688606267e-07,2.890487833926824e-07,3.4835828056220656e-07,2.3879938046851094e-07
144,2.8738682134295617e-07,4.5710143950843144e-07,5.086134338024205e-07,6.477821760940328e-07,4.702091554085148e-07,3.434885992959889e-07,2.5262902269451985e-07,2.5824609343202036e-07,3.5209823856995587e-07,2.1442804770503513e-07
162,2.7011013474610054e-07,3.964697825093866e-07,1.994193744790888e-07,1.621530658378952e-07,1.7668532257017133e-07,1.9904790207948214e-07,2.521180567594746e-07,2.7823900856041916e-07,4.4235580630569195e-07,3.229030276040719e-07
