,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.0038727933139000685
1,P_charged_centers,1.0,1.0,0.0022586243052944086
2,N_charged_centers,1.0,1.0,-0.033423445515057965
3,N_charged_centers,0.0,0.0,0.05819318285784813
4,Double_bonds,1.0,1.0,-0.013520703721501286
5,Double_bonds,2.0,2.0,0.03212027980434021
6,Double_bonds,0.0,0.0,-0.014067993130909257
7,NP_ratio,4.0,4.0,-0.005346867709457802
8,NP_ratio,8.0,8.0,-0.0043609786562892406
9,NP_ratio,12.0,12.0,0.009765416730755459
10,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.04308979576346208
11,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.045769973549030465
12,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.046179408299489154
13,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.006725946050194748
14,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.12642322547687831
15,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.014195172938113993
16,Dlin-MC3+Helper lipid percentage,40.0,40.0,-0.013295780087387635
17,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.0023041442940268577
18,Dlin-MC3+Helper lipid percentage,80.0,80.0,0.025217051973645925
19,Chol_DMG-PEG_ratio,500.0,500.0,-0.006659254599101841
20,Chol_DMG-PEG_ratio,100.0,100.0,0.03152198018340777
21,Chol_DMG-PEG_ratio,10.0,10.0,-0.024914875792536165
22,Zeta,"(-37.0, 515.8421052631579)",239.42105263157896,0.0016123126409554578
23,Zeta,"(9914.157894736843, 10467.0)",10190.578947368422,0.008912309130196978
