,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.028613298632512777
1,P_charged_centers,1.0,1.0,0.019195969365469277
2,N_charged_centers,1.0,1.0,-0.05172426515962357
3,N_charged_centers,0.0,0.0,0.11054675607869778
4,Double_bonds,1.0,1.0,-0.01672545846010812
5,Double_bonds,2.0,2.0,0.021323861940013355
6,Double_bonds,0.0,0.0,-0.013797721769508699
7,NP_ratio,4.0,4.0,-0.012408674570599142
8,NP_ratio,8.0,8.0,-0.009340995550939478
9,NP_ratio,12.0,12.0,0.020263860373537692
10,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.0317835282446616
11,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.03331056147850558
12,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.023997435254080032
13,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.05492596242113507
14,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.03706285779826125
15,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.004075191506677607
16,Dlin-MC3+Helper lipid percentage,40.0,40.0,0.014975789212513324
17,Dlin-MC3+Helper lipid percentage,60.0,60.0,-0.006309967471070055
18,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.005630229680082035
19,Chol_DMG-PEG_ratio,500.0,500.0,0.008627073391835091
20,Chol_DMG-PEG_ratio,100.0,100.0,0.04121757308308346
21,Chol_DMG-PEG_ratio,10.0,10.0,-0.05214063116908771
22,Zeta,"(-37.0, 515.8421052631579)",239.42105263157896,-0.0021820410378104293
23,Zeta,"(9914.157894736843, 10467.0)",10190.578947368422,0.07983462802372782
