,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.0006225462301816857
1,P_charged_centers,1.0,1.0,0.0004279403263857974
2,N_charged_centers,1.0,1.0,-0.07731933471391478
3,N_charged_centers,0.0,0.0,0.14732985021036762
4,Double_bonds,1.0,1.0,0.003174227091081367
5,Double_bonds,2.0,2.0,-0.014213207571699797
6,Double_bonds,0.0,0.0,0.014303281276866276
7,NP_ratio,4.0,4.0,-0.005114321370975621
8,NP_ratio,8.0,8.0,-0.009821877910257341
9,NP_ratio,12.0,12.0,0.01447894370616695
10,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.0476491280040853
11,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.050109372974299765
12,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.046173928074946365
13,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.022481467488116653
14,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.12061891854722406
15,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.033431719311812894
16,Dlin-MC3+Helper lipid percentage,40.0,40.0,-0.007431787504901275
17,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.019898400059305568
18,Dlin-MC3+Helper lipid percentage,80.0,80.0,0.022709094235988922
19,Chol_DMG-PEG_ratio,500.0,500.0,-0.001623979654129832
20,Chol_DMG-PEG_ratio,100.0,100.0,0.012384602781348442
21,Chol_DMG-PEG_ratio,10.0,10.0,-0.008762418151317477
22,Zeta,"(-37.0, 515.8421052631579)",239.42105263157896,-0.0007980156634885747
23,Zeta,"(9914.157894736843, 10467.0)",10190.578947368422,0.02741472037945448
