,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,0.006852185890811816
1,P_charged_centers,1.0,1.0,0.0005701046507017183
2,N_charged_centers,1.0,1.0,-0.00840102851079804
3,N_charged_centers,0.0,0.0,0.018812479998212724
4,Double_bonds,1.0,1.0,0.016824355051912866
5,Double_bonds,2.0,2.0,0.06247787848235202
6,Double_bonds,0.0,0.0,-0.016863565284713472
7,NP_ratio,4.0,4.0,-0.04508764803597121
8,NP_ratio,8.0,8.0,0.016777368706965414
9,NP_ratio,12.0,12.0,0.034114631976931306
10,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.008068423424338235
11,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.0020906284152032465
12,Dlin-MC3_Helper lipid_ratio,50.0,50.0,0.01561113567882409
13,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.07350900892694061
14,Dlin-MC3_Helper lipid_ratio,1.0,1.0,-0.02152492932968722
15,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.08270005331935863
16,Dlin-MC3+Helper lipid percentage,40.0,40.0,0.012559969570893777
17,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.09551548831678887
18,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.008944191901984984
19,Chol_DMG-PEG_ratio,500.0,500.0,-0.02393161293100073
20,Chol_DMG-PEG_ratio,100.0,100.0,0.08541353155196146
21,Chol_DMG-PEG_ratio,10.0,10.0,-0.05408783320319203
22,Zeta,"(-37.0, 515.8421052631579)",239.42105263157896,0.0007424200050464726
23,Zeta,"(9914.157894736843, 10467.0)",10190.578947368422,0.024882928529310795
