,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.002459196163403491
1,P_charged_centers,1.0,1.0,0.0015708564030006526
2,N_charged_centers,1.0,1.0,-0.012384139311417108
3,N_charged_centers,0.0,0.0,0.03882500358509521
4,cLogP,9.3028,9.3028,-0.00565026204623282
5,cLogP,9.784,9.784,-0.00599970917403698
6,cLogP,12.515,12.515,-0.007854950677437912
7,cLogP,6.12,6.12,-0.006676912411757642
8,cLogP,11.8502,11.8502,-0.008121764585044648
9,cLogP,12.73,12.73,0.03827337886405488
10,Hbond_D,3.0,3.0,-0.0008300400041043755
11,Hbond_D,2.0,2.0,-0.0021808731009976736
12,Hbond_D,0.0,0.0,0.0022287012556222855
13,Total_Carbon_Tails,36.0,36.0,0.0003648966068940033
14,Total_Carbon_Tails,28.0,28.0,-0.0014784433961742456
15,Double_bonds,1.0,1.0,-0.010380836710375216
16,Double_bonds,2.0,2.0,0.04919489531020324
17,Double_bonds,0.0,0.0,-0.012393085709421171
18,NP_ratio,4.0,4.0,-0.0031465811572348075
19,NP_ratio,8.0,8.0,-0.006894656309630309
20,NP_ratio,12.0,12.0,0.009027832879891827
21,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.031955634959180045
22,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.03471251454183624
23,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.029844455150990854
24,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.015314445696150262
25,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.12860532518041629
26,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.015983542368174702
27,Dlin-MC3+Helper lipid percentage,40.0,40.0,-0.004676305113484463
28,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.0030999289766505916
29,Dlin-MC3+Helper lipid percentage,80.0,80.0,0.01252279725626663
30,Chol_DMG-PEG_ratio,500.0,500.0,-0.004506578747886751
31,Chol_DMG-PEG_ratio,100.0,100.0,0.02542382075147082
32,Chol_DMG-PEG_ratio,10.0,10.0,-0.020898273332665362
33,Size,"(75.0, 528.9473684210527)",301.97368421052636,0.0010564124893437151
34,Size,"(982.8947368421053, 1436.842105263158)",1209.8684210526317,-0.0037752955900505186
35,Size,"(528.9473684210527, 982.8947368421053)",755.921052631579,-0.0010627314484407827
36,Size,"(1436.842105263158, 1890.7894736842106)",1663.8157894736842,-0.0075403298723200965
37,Size,"(1890.7894736842106, 2344.7368421052633)",2117.763157894737,-0.0015018642589449886
38,Size,"(3706.5789473684213, 4160.526315789473)",3933.5526315789475,0.0071240695416927334
39,Size,"(2344.7368421052633, 2798.684210526316)",2571.7105263157896,0.0019114058762788777
40,Size,"(8246.052631578947, 8700.0)",8473.026315789473,0.0032931471690535556
41,Size,"(4614.473684210527, 5068.421052631579)",4841.447368421053,0.004245913408696652
42,Size,"(2798.684210526316, 3252.631578947369)",3025.6578947368425,0.0033165735267102706
43,Zeta,"(-37.0, 515.8421052631579)",239.42105263157896,0.0005387855042272745
44,Zeta,"(9914.157894736843, 10467.0)",10190.578947368422,0.041730371363461014
