,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.041984976801776215
1,P_charged_centers,1.0,1.0,0.01642310259707755
2,N_charged_centers,1.0,1.0,0.00044830215754339974
3,N_charged_centers,0.0,0.0,0.0007362644927270543
4,cLogP,9.3028,9.3028,-0.020697043022319575
5,cLogP,9.784,9.784,0.04368597786898808
6,cLogP,12.515,12.515,0.037105285255989356
7,cLogP,6.12,6.12,-0.02959408891811258
8,NP_ratio,4.0,4.0,0.00302137051822529
9,NP_ratio,8.0,8.0,-0.009077758998130129
10,NP_ratio,12.0,12.0,-0.005804518244636278
11,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.06095556779125807
12,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.05762138794616974
13,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.03287865970099124
14,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.046769859610679775
15,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.17561422141062874
16,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.0008668229961291524
17,Dlin-MC3+Helper lipid percentage,40.0,40.0,0.006444599352051653
18,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.01242299093967353
19,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.02535116788596177
20,Chol_DMG-PEG_ratio,500.0,500.0,0.07100111149422499
21,Chol_DMG-PEG_ratio,100.0,100.0,0.03743683785624782
22,Chol_DMG-PEG_ratio,10.0,10.0,-0.129432780664014
23,Size,"(75.0, 528.9473684210527)",301.97368421052636,-0.0008919847436306812
24,Size,"(982.8947368421053, 1436.842105263158)",1209.8684210526317,0.010739859171832594
25,Size,"(528.9473684210527, 982.8947368421053)",755.921052631579,0.01578511136154435
26,Size,"(1436.842105263158, 1890.7894736842106)",1663.8157894736842,0.010190498096503754
27,Size,"(1890.7894736842106, 2344.7368421052633)",2117.763157894737,0.01798548601851576
28,Size,"(3706.5789473684213, 4160.526315789473)",3933.5526315789475,0.015987884167877456
29,Size,"(2344.7368421052633, 2798.684210526316)",2571.7105263157896,0.009360104398594951
30,Size,"(8246.052631578947, 8700.0)",8473.026315789473,0.033888305590975824
31,Size,"(4614.473684210527, 5068.421052631579)",4841.447368421053,0.027496341061734028
32,Size,"(2798.684210526316, 3252.631578947369)",3025.6578947368425,0.006761975425753793
33,Zeta,"(-11.105263157894736, -6.789473684210527)",-8.947368421052632,0.004047302600422696
34,Zeta,"(-6.789473684210527, -2.473684210526315)",-4.631578947368421,0.005248117624749672
35,Zeta,"(-2.473684210526315, 1.8421052631578974)",-0.31578947368420884,-0.008089707238977098
36,Zeta,"(-28.36842105263158, -24.05263157894737)",-26.210526315789473,0.02313237976716466
37,Zeta,"(-15.421052631578945, -11.105263157894736)",-13.26315789473684,0.046789591373491396
38,Zeta,"(-19.736842105263158, -15.421052631578945)",-17.57894736842105,0.009044460893644924
39,Zeta,"(-24.05263157894737, -19.736842105263158)",-21.894736842105264,0.0105399794926077
40,Zeta,"(6.15789473684211, 10.473684210526315)",8.315789473684212,-0.01663447740383962
41,Zeta,"(1.8421052631578974, 6.15789473684211)",4.0000000000000036,-0.008678407655326424
42,Zeta,"(-32.68421052631579, -28.36842105263158)",-30.526315789473685,0.045833377438198264
43,Zeta,"(10.473684210526315, 14.789473684210527)",12.631578947368421,-0.01537354772320004
44,Zeta,"(-37.0, -32.68421052631579)",-34.84210526315789,0.010171204814362145
45,Zeta,"(14.789473684210527, 19.10526315789474)",16.947368421052634,0.0016585141625432697
46,Zeta,"(19.10526315789474, 23.421052631578945)",21.263157894736842,0.003389032412051
47,Zeta,"(23.421052631578945, 27.736842105263165)",25.578947368421055,-0.04527290337337622
48,Zeta,"(40.684210526315795, 45.0)",42.8421052631579,-0.022204522867760944
49,Zeta,"(27.736842105263165, 32.05263157894737)",29.894736842105267,0.007096817170402815
