group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0118,0.2308,-0.0265,0.003,False
DT,MLR,0.0572,0.0,0.0424,0.0719,True
DT,PLS,0.0563,0.0,0.0416,0.0711,True
DT,RF,-0.0156,0.0288,-0.0304,-0.0009,True
DT,XGB,-0.0147,0.0513,-0.0295,0.0,False
DT,kNN,0.0321,0.0,0.0173,0.0468,True
DT,lasso,0.0558,0.0,0.041,0.0705,True
LGBM,MLR,0.0689,0.0,0.0542,0.0837,True
LGBM,PLS,0.0681,0.0,0.0534,0.0829,True
LGBM,RF,-0.0039,0.9936,-0.0186,0.0109,False
LGBM,XGB,-0.0029,0.9989,-0.0177,0.0118,False
LGBM,kNN,0.0439,0.0,0.0291,0.0586,True
LGBM,lasso,0.0676,0.0,0.0528,0.0823,True
MLR,PLS,-0.0008,1.0,-0.0156,0.0139,False
MLR,RF,-0.0728,0.0,-0.0875,-0.058,True
MLR,XGB,-0.0719,0.0,-0.0866,-0.0571,True
MLR,kNN,-0.0251,0.0,-0.0398,-0.0103,True
MLR,lasso,-0.0014,1.0,-0.0161,0.0134,False
PLS,RF,-0.072,0.0,-0.0867,-0.0572,True
PLS,XGB,-0.0711,0.0,-0.0858,-0.0563,True
PLS,kNN,-0.0243,0.0,-0.039,-0.0095,True
PLS,lasso,-0.0006,1.0,-0.0153,0.0142,False
RF,XGB,0.0009,1.0,-0.0138,0.0157,False
RF,kNN,0.0477,0.0,0.033,0.0625,True
RF,lasso,0.0714,0.0,0.0567,0.0862,True
XGB,kNN,0.0468,0.0,0.032,0.0615,True
XGB,lasso,0.0705,0.0,0.0557,0.0853,True
kNN,lasso,0.0237,0.0,0.009,0.0385,True
