group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0101,0.9999,-0.0844,0.0642,False
DT,MLR,0.074,0.0515,-0.0003,0.1483,False
DT,PLS,0.0723,0.0631,-0.002,0.1466,False
DT,RF,-0.009,1.0,-0.0833,0.0653,False
DT,XGB,-0.0092,1.0,-0.0835,0.0651,False
DT,kNN,0.0243,0.9755,-0.0499,0.0986,False
DT,lasso,0.0771,0.0353,0.0028,0.1514,True
LGBM,MLR,0.0841,0.0139,0.0098,0.1584,True
LGBM,PLS,0.0824,0.0177,0.0081,0.1567,True
LGBM,RF,0.0011,1.0,-0.0732,0.0754,False
LGBM,XGB,0.0009,1.0,-0.0734,0.0752,False
LGBM,kNN,0.0344,0.8552,-0.0399,0.1087,False
LGBM,lasso,0.0872,0.0089,0.0129,0.1615,True
MLR,PLS,-0.0017,1.0,-0.076,0.0726,False
MLR,RF,-0.0831,0.0161,-0.1573,-0.0088,True
MLR,XGB,-0.0832,0.0158,-0.1575,-0.0089,True
MLR,kNN,-0.0497,0.4629,-0.124,0.0246,False
MLR,lasso,0.0031,1.0,-0.0712,0.0774,False
PLS,RF,-0.0813,0.0204,-0.1556,-0.007,True
PLS,XGB,-0.0815,0.02,-0.1558,-0.0072,True
PLS,kNN,-0.048,0.5111,-0.1223,0.0263,False
PLS,lasso,0.0048,1.0,-0.0695,0.0791,False
RF,XGB,-0.0002,1.0,-0.0745,0.0741,False
RF,kNN,0.0334,0.8745,-0.0409,0.1077,False
RF,lasso,0.0862,0.0104,0.0119,0.1604,True
XGB,kNN,0.0335,0.8717,-0.0408,0.1078,False
XGB,lasso,0.0863,0.0102,0.012,0.1606,True
kNN,lasso,0.0528,0.38,-0.0215,0.1271,False
