,0
# of Features,8
Feature names,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']"
Removed Feature Names,"['Hbond_A', 'cLogP', 'Total_Carbon_Tails', 'PDI', 'Size', 'Zeta']"
MAE,0.04838
MAE_std,0.016400813085566405
Spearman,0.8972447322637715
Spearman_std,0.016400813085566405
Pearson,0.9288985808021991
Pearson_std,0.012097707796128296
linkage distance,28.5
