,RLU_N2a
0,0.4931263332543256
1,0.48269732164019913
2,0.30137473334913484
3,0.36217113059966816
4,0.3914434700165916
5,0.30018961839298414
6,0.3389428774591135
7,0.3038634747570514
8,0.45887651102156907
9,0.17373785257169944
10,0.2866793078928655
11,0.4119459587579995
12,0.44512917753022047
13,0.4242711543019672
14,0.3293434463142924
15,0.31109267598957097
16,0.3263806589239155
17,0.2988859919412183
18,0.347712728134629
19,0.35363830291538273
20,0.34344631429248634
21,0.36063048115667223
22,0.3750888836217113
23,0.428656079639725
24,0.33704669352927236
25,0.35280872244607725
26,0.2595401753970135
27,0.384214268784072
28,0.3293434463142924
29,0.2908272102393931
30,0.36300071106897364
31,0.34166864185826024
32,0.3789997629770088
33,0.26985067551552505
34,0.37971083195069916
35,0.4069684759421664
36,0.384214268784072
37,0.3167812277790945
38,0.2334676463616971
39,0.39890969424034123
40,0.36596349845935056
41,0.37710357904716757
42,0.44358852808722443
43,0.48269732164019913
44,0.5049774828158331
45,0.42557478075373306
46,0.45615074662242233
47,0.5822469779568618
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.1490874614837639
54,0.0
55,0.023346764636169692
56,0.0
57,0.0
58,0.0
59,0.0
60,0.43576676937662945
61,0.3756814410997867
62,0.23121592794501067
63,0.392036027494667
64,0.13960654183455795
65,0.27779094572173507
66,0.3926285849727423
67,0.3026783598009007
68,0.38848068262621466
69,0.3178478312396303
70,0.17741170893576674
71,0.3716520502488741
72,0.46314292486371184
73,0.37094098127518366
74,0.2895235837876274
75,0.4037686655605593
76,0.31109267598957097
77,0.31452950936240814
78,0.30516710120881724
79,0.32424745200284427
80,0.37094098127518366
81,0.36217113059966816
82,0.2613178478312396
83,0.3750888836217113
84,0.47570514339890974
85,0.3789997629770088
86,0.29758236548945244
87,0.44015169471438725
88,0.3756814410997867
89,0.3468831476653234
90,0.34166864185826024
91,0.38350319981038156
92,0.3644228490163545
93,0.42379710831950695
94,0.3389428774591135
95,0.3750888836217113
96,0.3716520502488741
97,0.20597297937899972
98,0.17373785257169944
99,0.4016354586394881
100,0.24211898554159755
101,0.25017776724342256
102,0.45271391324958515
103,0.43078928656079635
104,0.1345105475231097
105,0.4869637354823418
106,0.33989096942403413
107,0.32424745200284427
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.009362408153590907
121,0.0
122,0.0
123,0.023346764636169692
124,0.14446551315477596
125,0.17741170893576674
126,0.07572884569803268
127,0.22422374970372122
128,0.23785257169945478
129,0.13960654183455795
130,0.15359089831713674
131,0.31227779094572167
132,0.009362408153590907
133,0.0
134,0.0
135,0.0
136,0.11803744963261437
137,0.0
138,0.10547523109741647
139,0.2334676463616971
140,0.09160938611045272
141,0.15359089831713674
142,0.24413368096705373
143,0.27459113534012797
144,0.009362408153590907
145,0.009362408153590907
146,0.0
147,0.0
148,0.11803744963261437
149,0.0
150,0.07572884569803268
151,0.22896420952832425
152,0.09160938611045272
153,0.19720312870348422
154,0.25397013510310495
155,0.30137473334913484
156,0.05747807537331118
157,0.023346764636169692
158,0.0
159,0.06695899502251718
160,0.123844512917753
161,0.05747807537331118
162,0.24211898554159755
163,0.24211898554159755
164,0.10547523109741647
165,0.35517895235837876
166,0.34522398672671245
167,0.25017776724342256
168,0.1842853756814411
169,0.34866082009954963
170,0.16200521450580707
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.5077032472149798
181,0.4799715572410523
182,0.4191751599905191
183,0.407916567907087
184,0.37295567670063995
185,0.28075373311211177
186,0.4384925337757762
187,0.3178478312396303
188,0.30018961839298414
189,0.1490874614837639
190,0.023346764636169692
191,0.07572884569803268
192,0.5474045982460298
193,0.48186774117089354
194,0.42059729793789996
195,0.45271391324958515
196,0.3702299123014932
197,0.40222801611756337
198,0.39665797582365486
199,0.381014458402465
200,0.381014458402465
201,0.3736667456743303
202,0.22896420952832425
203,0.31227779094572167
204,0.5099549656316662
205,0.47511258592083433
206,0.4016354586394881
207,0.4163308840957572
208,0.3503199810381607
209,0.3575491822706803
210,0.40104290116141267
211,0.3494904005688551
212,0.33230623370466933
213,0.3859919412182981
214,0.1842853756814411
215,0.23998577862052622
216,0.592201943588528
217,0.49537805167101207
218,0.4153827921308367
219,0.48246029864896883
220,0.4442995970609149
221,0.38291064233230615
222,0.4931263332543256
223,0.47511258592083433
224,0.4741644939559137
225,0.6644939559137235
226,0.5826025124437071
227,0.5393458165442047
228,0.4785494192936715
229,0.7815833135814174
230,0.6961365252429486
231,0.7571699454847118
232,0.8696373548234178
233,0.8243659634984593
234,0.9267598957098837
235,0.8037449632614362
236,0.8314766532353637
237,0.9588765110215689
238,0.950817729319744
239,0.895591372363119
240,0.4424034131310736
241,0.3680967053804219
242,0.271391324958521
243,0.3389428774591135
244,0.3407205498933396
245,0.3211661531168523
246,0.35837876273998576
247,0.2852571699454847
248,0.41147191277553924
249,0.23785257169945478
250,0.22422374970372122
251,0.406375918464091
252,0.43078928656079635
253,0.37971083195069916
254,0.30018961839298414
255,0.35837876273998576
256,0.34166864185826024
257,0.36217113059966816
258,0.35517895235837876
259,0.2922493481867741
260,0.14446551315477596
261,0.1699454847120171
262,0.19092201943588527
263,0.20312870348423795
264,0.4771272813462905
265,0.3784072054989333
266,0.3949988148850438
267,0.37094098127518366
268,0.3949988148850438
269,0.3599194121829817
270,0.4277079876748044
271,0.3503199810381607
272,0.3283953543493719
273,0.3932211424508177
274,0.24211898554159755
275,0.588883621711306
276,0.5282057359563876
277,0.3978430907798057
278,0.439677648731927
279,0.5484712017065656
280,0.46729082721023935
281,0.45887651102156907
282,0.6732638065892391
283,0.5708698743778147
284,0.44512917753022047
285,0.7954491585683809
286,0.6546575017776723
287,0.6035790471675753
288,0.8346764636169706
289,0.8234178715335387
290,0.6981512206684048
291,0.9326854704906373
292,0.8103816070158802
293,0.8006636643754443
294,0.9736904479734532
295,0.8278027968712964
296,0.7467409338705855
297,1.0
298,0.9759421663901395
299,0.8899028205735955
300,0.07572884569803268
301,0.03590898317136759
302,0.023346764636169692
303,0.10547523109741647
304,0.13960654183455795
305,0.1578573121592794
