,0
# of Features,8
Feature names,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']"
Removed Feature Names,"['Hbond_A', 'PDI', 'Size', 'Double_bonds', 'Zeta', 'N_charged_centers']"
MAE,0.050519999999999995
MAE_std,0.03565345646527048
Spearman,0.6667833076527859
Spearman_std,0.03565345646527048
Pearson,0.9111972865822605
Pearson_std,0.01750460495103505
linkage distance,28.5
