group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0203,0.0375,-0.04,-0.0006,True
DT,MLR,0.0737,0.0,0.054,0.0934,True
DT,PLS,0.0737,0.0,0.054,0.0934,True
DT,RF,-0.0123,0.5514,-0.032,0.0074,False
DT,XGB,-0.0195,0.0547,-0.0392,0.0002,False
DT,kNN,0.0273,0.0007,0.0076,0.047,True
DT,lasso,0.0754,0.0,0.0557,0.0951,True
LGBM,MLR,0.094,0.0,0.0744,0.1137,True
LGBM,PLS,0.094,0.0,0.0743,0.1137,True
LGBM,RF,0.008,0.9236,-0.0117,0.0277,False
LGBM,XGB,0.0008,1.0,-0.0189,0.0205,False
LGBM,kNN,0.0476,0.0,0.0279,0.0673,True
LGBM,lasso,0.0957,0.0,0.076,0.1154,True
MLR,PLS,-0.0,1.0,-0.0197,0.0197,False
MLR,RF,-0.0861,0.0,-0.1058,-0.0664,True
MLR,XGB,-0.0932,0.0,-0.1129,-0.0735,True
MLR,kNN,-0.0464,0.0,-0.0661,-0.0267,True
MLR,lasso,0.0016,1.0,-0.0181,0.0213,False
PLS,RF,-0.086,0.0,-0.1057,-0.0663,True
PLS,XGB,-0.0932,0.0,-0.1129,-0.0735,True
PLS,kNN,-0.0464,0.0,-0.0661,-0.0267,True
PLS,lasso,0.0017,1.0,-0.018,0.0214,False
RF,XGB,-0.0072,0.9567,-0.0268,0.0125,False
RF,kNN,0.0396,0.0,0.0199,0.0593,True
RF,lasso,0.0877,0.0,0.068,0.1074,True
XGB,kNN,0.0468,0.0,0.0271,0.0665,True
XGB,lasso,0.0949,0.0,0.0752,0.1146,True
kNN,lasso,0.0481,0.0,0.0284,0.0678,True
