group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0094,0.9999,-0.0808,0.062,False
DT,MLR,0.0722,0.045,0.0008,0.1436,True
DT,PLS,0.074,0.036,0.0026,0.1453,True
DT,RF,-0.0059,1.0,-0.0773,0.0655,False
DT,XGB,-0.0088,1.0,-0.0802,0.0626,False
DT,kNN,0.0391,0.7117,-0.0322,0.1105,False
DT,lasso,0.0863,0.0061,0.0149,0.1576,True
LGBM,MLR,0.0817,0.0124,0.0103,0.153,True
LGBM,PLS,0.0834,0.0095,0.012,0.1548,True
LGBM,RF,0.0035,1.0,-0.0679,0.0749,False
LGBM,XGB,0.0006,1.0,-0.0708,0.072,False
LGBM,kNN,0.0486,0.4397,-0.0228,0.12,False
LGBM,lasso,0.0957,0.0013,0.0243,0.1671,True
MLR,PLS,0.0017,1.0,-0.0697,0.0731,False
MLR,RF,-0.0781,0.0205,-0.1495,-0.0067,True
MLR,XGB,-0.0811,0.0135,-0.1524,-0.0097,True
MLR,kNN,-0.0331,0.8553,-0.1045,0.0383,False
MLR,lasso,0.014,0.9989,-0.0574,0.0854,False
PLS,RF,-0.0799,0.0161,-0.1512,-0.0085,True
PLS,XGB,-0.0828,0.0104,-0.1542,-0.0114,True
PLS,kNN,-0.0348,0.8192,-0.1062,0.0366,False
PLS,lasso,0.0123,0.9996,-0.0591,0.0837,False
RF,XGB,-0.0029,1.0,-0.0743,0.0685,False
RF,kNN,0.045,0.5422,-0.0264,0.1164,False
RF,lasso,0.0921,0.0023,0.0208,0.1635,True
XGB,kNN,0.048,0.4567,-0.0234,0.1194,False
XGB,lasso,0.0951,0.0014,0.0237,0.1665,True
kNN,lasso,0.0471,0.4816,-0.0243,0.1185,False
