group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0254,0.9697,-0.0999,0.0492,False
DT,MLR,0.0604,0.2142,-0.0141,0.135,False
DT,PLS,0.0604,0.2152,-0.0142,0.1349,False
DT,RF,-0.0225,0.9848,-0.097,0.0521,False
DT,XGB,-0.0289,0.9388,-0.1035,0.0456,False
DT,kNN,0.0104,0.9999,-0.0642,0.085,False
DT,lasso,0.0624,0.1792,-0.0121,0.137,False
LGBM,MLR,0.0858,0.0115,0.0113,0.1604,True
LGBM,PLS,0.0858,0.0115,0.0112,0.1603,True
LGBM,RF,0.0029,1.0,-0.0717,0.0775,False
LGBM,XGB,-0.0035,1.0,-0.0781,0.071,False
LGBM,kNN,0.0358,0.8314,-0.0388,0.1103,False
LGBM,lasso,0.0878,0.0086,0.0133,0.1624,True
MLR,PLS,-0.0001,1.0,-0.0746,0.0745,False
MLR,RF,-0.0829,0.0172,-0.1575,-0.0084,True
MLR,XGB,-0.0894,0.0068,-0.1639,-0.0148,True
MLR,kNN,-0.05,0.4584,-0.1246,0.0245,False
MLR,lasso,0.002,1.0,-0.0725,0.0766,False
PLS,RF,-0.0829,0.0173,-0.1574,-0.0083,True
PLS,XGB,-0.0893,0.0069,-0.1639,-0.0147,True
PLS,kNN,-0.05,0.4599,-0.1245,0.0246,False
PLS,lasso,0.0021,1.0,-0.0725,0.0766,False
RF,XGB,-0.0064,1.0,-0.081,0.0681,False
RF,kNN,0.0329,0.8848,-0.0417,0.1074,False
RF,lasso,0.0849,0.013,0.0104,0.1595,True
XGB,kNN,0.0393,0.7512,-0.0352,0.1139,False
XGB,lasso,0.0914,0.005,0.0168,0.1659,True
kNN,lasso,0.0521,0.4042,-0.0225,0.1266,False
