group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0062,1.0,-0.0779,0.0655,False
DT,MLR,0.086,0.0068,0.0143,0.1577,True
DT,PLS,0.0826,0.0113,0.0109,0.1543,True
DT,RF,-0.0033,1.0,-0.075,0.0683,False
DT,XGB,-0.0051,1.0,-0.0768,0.0666,False
DT,kNN,0.0292,0.9221,-0.0425,0.1009,False
DT,lasso,0.0606,0.1697,-0.0111,0.1323,False
LGBM,MLR,0.0922,0.0025,0.0205,0.1639,True
LGBM,PLS,0.0888,0.0043,0.0172,0.1605,True
LGBM,RF,0.0029,1.0,-0.0688,0.0746,False
LGBM,XGB,0.0011,1.0,-0.0705,0.0728,False
LGBM,kNN,0.0354,0.8095,-0.0363,0.1071,False
LGBM,lasso,0.0668,0.0886,-0.0049,0.1385,False
MLR,PLS,-0.0034,1.0,-0.0751,0.0683,False
MLR,RF,-0.0893,0.004,-0.161,-0.0176,True
MLR,XGB,-0.0911,0.003,-0.1628,-0.0194,True
MLR,kNN,-0.0568,0.24,-0.1285,0.0149,False
MLR,lasso,-0.0254,0.9624,-0.0971,0.0463,False
PLS,RF,-0.086,0.0068,-0.1576,-0.0143,True
PLS,XGB,-0.0877,0.0052,-0.1594,-0.016,True
PLS,kNN,-0.0534,0.316,-0.1251,0.0182,False
PLS,lasso,-0.022,0.9832,-0.0937,0.0497,False
RF,XGB,-0.0017,1.0,-0.0734,0.0699,False
RF,kNN,0.0325,0.8689,-0.0392,0.1042,False
RF,lasso,0.0639,0.1213,-0.0077,0.1356,False
XGB,kNN,0.0343,0.8344,-0.0374,0.1059,False
XGB,lasso,0.0657,0.1006,-0.006,0.1374,False
kNN,lasso,0.0314,0.8877,-0.0402,0.1031,False
