,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.058427711271439434
1,P_charged_centers,1.0,1.0,0.024363974837986427
2,cLogP,9.3028,9.3028,-0.014279198466324146
3,cLogP,9.784,9.784,0.0444787451836522
4,cLogP,12.515,12.515,0.031127615357493914
5,cLogP,6.12,6.12,-0.03219181184959081
6,NP_ratio,4.0,4.0,0.006141376894195059
7,NP_ratio,8.0,8.0,-0.009965279006626863
8,NP_ratio,12.0,12.0,-0.011446243257737816
9,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.05073556415578005
10,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.047973698800636656
11,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.02691550116858409
12,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.0468663095049905
13,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.13552728680742007
14,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.01979996961931939
15,Dlin-MC3+Helper lipid percentage,40.0,40.0,0.0073238900016303465
16,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.016971683354648187
17,Dlin-MC3+Helper lipid percentage,80.0,80.0,-0.02307483611253124
18,Chol_DMG-PEG_ratio,500.0,500.0,0.07329121976231949
19,Chol_DMG-PEG_ratio,100.0,100.0,0.042250574560318555
20,Chol_DMG-PEG_ratio,10.0,10.0,-0.1375472822458173
