,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.11768,0.013138401729281992,0.7467266126948974,0.04589686266150814,0.7367918178174238,0.056487140620354176,0.0
1,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.12094,0.013212736279817288,0.7418181447936913,0.050443252994622295,0.724347436711828,0.04943609286059662,0.01
2,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.11567999999999999,0.013277710646041356,0.7592711486665413,0.04804173364849358,0.7397644492130879,0.06496230389910176,0.02
3,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.13114,0.015374017041749368,0.715713087382126,0.059431018949017624,0.6646381594039653,0.06840726985914868,0.03
4,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.1285,0.012267436570041845,0.7299817579401366,0.043665412237188284,0.6710513299690224,0.05504554092347532,0.04
5,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.1284,0.012323960402403116,0.7329094950690767,0.038863915514241405,0.6756114793197855,0.0475038951380026,0.05
6,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.20383999999999997,0.011275389128540087,0.30464049978441976,0.06444285054658014,0.2883233714081255,0.0625871905459301,0.06
7,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.2014,0.009838699100999071,0.3325680193264465,0.0594621072814444,0.3346431459779581,0.06499231637254126,0.07
8,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.21454,0.009287001668999529,0.21315392628930774,0.05283347063709997,0.24834593133327273,0.047045636989932006,0.08
9,2,"['P_charged_centers', 'NP_ratio']",0.21538000000000002,0.0091670933234041,0.18632005499529494,0.06070463651342553,0.25500512385745133,0.042116902020073,0.09
10,1,['P_charged_centers'],0.21502000000000002,0.009129052524769482,0.2645547492329751,0.048725572698600686,0.2669625099732893,0.043929198943748665,0.1
