,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10729999999999999,0.009623408959407264,0.7964277744760477,0.03002104066485407,0.7929032463409884,0.03428930545566731,0.0
1,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10732000000000001,0.00961340730438485,0.7961371887820412,0.029858624007638248,0.793010646041337,0.03409168770599956,0.01
2,9,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.10764000000000001,0.009551460621287197,0.7951012472679819,0.029929336090170528,0.7908877495427187,0.03400005907316084,0.02
3,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.11986,0.008948765277958745,0.7683720229900018,0.02927504997474567,0.7366883457856136,0.03965654105437218,0.03
4,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.11671999999999999,0.009241298610043937,0.771783781792417,0.031159516737151813,0.7441467243768567,0.04540970135137144,0.04
5,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.11982,0.009880667993612579,0.7627417073225107,0.031053516369873743,0.7110791214790454,0.04262757343031723,0.05
6,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.20672000000000004,0.01128014184307981,0.2884747551199014,0.06300668069109311,0.2670046383268492,0.0607914428260825,0.06
7,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.20142000000000004,0.009798142681141155,0.3331526249061983,0.060189989301185166,0.3345172621717495,0.06548874696552852,0.07
8,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.21462,0.009256111494574816,0.2170429617301465,0.05606704168670655,0.24867662294430598,0.047173657565252027,0.08
9,2,"['P_charged_centers', 'NP_ratio']",0.21544,0.00925021080840864,0.18510805062109018,0.05845482307089606,0.2550377788584278,0.041999247008283024,0.09
10,1,['P_charged_centers'],0.21500000000000002,0.009197825830053538,0.2645547492329751,0.048725572698600686,0.2669625099732895,0.04392919894374876,0.1
