,0
# of Features,8
Feature names,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']"
Removed Feature Names,"['Hbond_A', 'Total_Carbon_Tails', 'PDI', 'Size', 'Zeta', 'N_charged_centers']"
MAE,0.03202
MAE_std,0.037111181772557664
Spearman,0.6153855670964848
Spearman_std,0.037111181772557664
Pearson,0.9104701085669263
Pearson_std,0.020656371413277183
linkage distance,28.5
