,P_charged_centers,cLogP,Hbond_D,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
0,0,9.3028,3,1,4,200,20,500
1,0,9.3028,3,1,8,200,20,500
2,0,9.3028,3,1,12,200,20,500
3,0,9.3028,3,1,4,200,40,500
4,0,9.3028,3,1,8,200,40,500
5,0,9.3028,3,1,12,200,40,500
6,0,9.3028,3,1,4,200,60,500
7,0,9.3028,3,1,8,200,60,500
8,0,9.3028,3,1,12,200,60,500
9,0,9.3028,3,1,4,200,80,500
10,0,9.3028,3,1,8,200,80,500
11,0,9.3028,3,1,12,200,80,500
12,0,9.3028,3,1,4,100,20,500
13,0,9.3028,3,1,8,100,20,500
14,0,9.3028,3,1,12,100,20,500
15,0,9.3028,3,1,4,100,40,500
16,0,9.3028,3,1,8,100,40,500
17,0,9.3028,3,1,12,100,40,500
18,0,9.3028,3,1,4,100,60,500
19,0,9.3028,3,1,8,100,60,500
20,0,9.3028,3,1,12,100,60,500
21,0,9.3028,3,1,4,100,80,500
22,0,9.3028,3,1,8,100,80,500
23,0,9.3028,3,1,12,100,80,500
24,0,9.3028,3,1,4,50,20,500
25,0,9.3028,3,1,8,50,20,500
26,0,9.3028,3,1,12,50,20,500
27,0,9.3028,3,1,4,50,40,500
28,0,9.3028,3,1,8,50,40,500
29,0,9.3028,3,1,12,50,40,500
30,0,9.3028,3,1,4,50,60,500
31,0,9.3028,3,1,8,50,60,500
32,0,9.3028,3,1,12,50,60,500
33,0,9.3028,3,1,4,50,80,500
34,0,9.3028,3,1,8,50,80,500
35,0,9.3028,3,1,12,50,80,500
36,0,9.3028,3,1,4,10,20,500
37,0,9.3028,3,1,8,10,20,500
38,0,9.3028,3,1,12,10,20,500
39,0,9.3028,3,1,4,10,40,500
40,0,9.3028,3,1,8,10,40,500
41,0,9.3028,3,1,12,10,40,500
42,0,9.3028,3,1,4,10,60,500
43,0,9.3028,3,1,8,10,60,500
44,0,9.3028,3,1,12,10,60,500
45,0,9.3028,3,1,4,10,80,500
46,0,9.3028,3,1,8,10,80,500
47,0,9.3028,3,1,12,10,80,500
48,0,9.3028,3,1,4,1,20,500
49,0,9.3028,3,1,8,1,20,500
50,0,9.3028,3,1,12,1,20,500
51,0,9.3028,3,1,4,1,40,500
52,0,9.3028,3,1,8,1,40,500
53,0,9.3028,3,1,12,1,40,500
54,0,9.3028,3,1,4,1,60,500
55,0,9.3028,3,1,8,1,60,500
56,0,9.3028,3,1,12,1,60,500
57,0,9.3028,3,1,4,1,80,500
58,0,9.3028,3,1,8,1,80,500
59,0,9.3028,3,1,12,1,80,500
60,0,9.3028,3,1,4,200,20,100
