,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.07042000000000001,0.005348233353173736,0.8650868100898106,0.02789960556476548,0.8819470266696416,0.027703717998462676,0.0
1,11,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.07056,0.005422766821466693,0.865140925029456,0.028152031147242438,0.8814533567719338,0.028011790382915455,0.01
2,10,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.07096000000000002,0.005469771476030784,0.8647384905393827,0.027432675346652193,0.8797232686251903,0.028273856437110313,0.02
3,9,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'PDI', 'Zeta']",0.07816,0.006325693637855062,0.8409463898276388,0.029577341358359446,0.8354523877970206,0.04244094028347758,0.03
4,8,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.07654000000000001,0.005937036297682541,0.8427782890525622,0.028074667418675002,0.8376177496060844,0.03955274531343673,0.04
5,7,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.07610000000000001,0.006928924880528003,0.846544168547911,0.029587250054880432,0.8312773237074339,0.04687928719073592,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.08501999999999998,0.008672923382574065,0.8183777871204334,0.032761908379869184,0.7707499142560983,0.050718342127339805,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.15708,0.00959132941776061,0.3330423572953585,0.07527480236460196,0.4844396881626132,0.07196533753877206,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.17133999999999996,0.008589784630594642,0.1537406192238784,0.057463131448672364,0.12934813167199705,0.05765180493408901,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.16807999999999995,0.008673730454654442,0.1456007874378088,0.07290865072958992,0.1882205225087507,0.06031806707294106,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.16807999999999995,0.008468388276407734,0.14988598222655092,0.06636059108355657,0.20510163253064906,0.05719851288874664,0.1
11,1,['P_charged_centers'],0.16726,0.008315792205196085,0.21399223228194889,0.07321837735783146,0.22221470964180454,0.057507269546495904,0.11
