,# of Features,Feature names,MAE,MAE_std,Spearman,Spearman_std,Pearson,Pearson_std,linkage distance
0,13,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04855999999999999,0.007647640158898692,0.6707228549699538,0.0584335392910905,0.8360161371920737,0.04610029552506002,0.0
1,12,"['P_charged_centers', 'N_charged_centers', 'cLogP', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04598,0.007173534693580286,0.6809184033374351,0.05555690757576881,0.8500535720824636,0.03969603119417201,0.01
2,11,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Total_Carbon_Tails', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.04878000000000001,0.008005722952988069,0.6855735684871014,0.04888914941266463,0.8376736338683776,0.035868755851154024,0.02
3,10,"['P_charged_centers', 'N_charged_centers', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.0472,0.007310266752998827,0.6857751403156914,0.05052283190311515,0.8426945590960456,0.037081046490092424,0.03
4,9,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Size', 'Zeta']",0.046340000000000006,0.007783598139678076,0.6920332780970689,0.04348144841909046,0.8509202105519508,0.03484517179521469,0.04
5,8,"['P_charged_centers', 'N_charged_centers', 'Double_bonds', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio', 'Zeta']",0.04959999999999999,0.0074565407529229,0.6677420925341145,0.041238785215530274,0.8314821931355506,0.03963499464637243,0.05
6,6,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage', 'Chol_DMG-PEG_ratio']",0.05928,0.006829465572063455,0.5768996122396391,0.054552331180407865,0.7856793147008669,0.041840970988676805,0.06
7,5,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3_Helper lipid_ratio', 'Dlin-MC3+Helper lipid percentage']",0.060880000000000004,0.006457987302557974,0.5623524905803832,0.05371972973766154,0.7826659533261495,0.03746834861939363,0.07
8,4,"['P_charged_centers', 'N_charged_centers', 'NP_ratio', 'Dlin-MC3+Helper lipid percentage']",0.09046,0.009312808384155663,0.5166965328488892,0.04252072153833152,0.5596896688319973,0.045809817538352914,0.08
9,3,"['P_charged_centers', 'N_charged_centers', 'NP_ratio']",0.09468,0.009731269187521225,0.5051564978774988,0.04576738281590182,0.5389645668153557,0.04761157709302443,0.09
10,2,"['P_charged_centers', 'NP_ratio']",0.12412,0.009626297315167448,0.30464248233334507,0.05041255828711818,0.28356698953091436,0.030909359853572824,0.1
11,1,['P_charged_centers'],0.12527999999999997,0.009451010527980594,0.32272692601867886,0.03241888439276036,0.2834151278488281,0.0221930045769191,0.11
