,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.04775046509824291
1,P_charged_centers,1.0,1.0,0.024235626498704338
2,N_charged_centers,1.0,1.0,-0.009938532527053888
3,N_charged_centers,0.0,0.0,0.023742466520237572
4,cLogP,9.3028,9.3028,-0.0011497889302585545
5,cLogP,9.784,9.784,0.0014836777521505227
6,cLogP,12.515,12.515,0.012328219936079356
7,cLogP,6.12,6.12,-0.04398678962358933
8,cLogP,11.8502,11.8502,0.004529062159426574
9,cLogP,12.73,12.73,0.034624045016955374
10,Hbond_D,3.0,3.0,0.00025686181638609544
11,Hbond_D,2.0,2.0,-0.00016014055644366046
12,Hbond_D,0.0,0.0,-6.373844368258747e-05
13,Total_Carbon_Tails,36.0,36.0,0.0
14,Total_Carbon_Tails,28.0,28.0,0.0
15,Double_bonds,1.0,1.0,0.0009016692966409158
16,Double_bonds,2.0,2.0,0.009509006955244453
17,Double_bonds,0.0,0.0,-0.01095141124989079
18,NP_ratio,4.0,4.0,-0.002638487282986671
19,NP_ratio,8.0,8.0,-0.005132646578626327
20,NP_ratio,12.0,12.0,0.007870803643030489
21,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.03907842906070259
22,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.04913786654239389
23,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.045030055013464514
24,Dlin-MC3_Helper lipid_ratio,10.0,10.0,0.00501164844215032
25,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.12890984985330356
26,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.0203111599533833
27,Dlin-MC3+Helper lipid percentage,40.0,40.0,-0.0056278625588104935
28,Dlin-MC3+Helper lipid percentage,60.0,60.0,0.005199680137235572
29,Dlin-MC3+Helper lipid percentage,80.0,80.0,0.02114590478663251
30,Chol_DMG-PEG_ratio,500.0,500.0,-0.008529492075474059
31,Chol_DMG-PEG_ratio,100.0,100.0,0.026280209593686956
32,Chol_DMG-PEG_ratio,10.0,10.0,-0.016047086811594908
33,Size,"(75.0, 528.9473684210527)",301.97368421052636,0.0005435660591349955
34,Size,"(982.8947368421053, 1436.842105263158)",1209.8684210526317,-0.0018211591607911403
35,Size,"(528.9473684210527, 982.8947368421053)",755.921052631579,0.0008985916390449136
36,Size,"(1436.842105263158, 1890.7894736842106)",1663.8157894736842,0.0012130929568244292
37,Size,"(1890.7894736842106, 2344.7368421052633)",2117.763157894737,0.00033632976543999336
38,Size,"(3706.5789473684213, 4160.526315789473)",3933.5526315789475,0.0032345756526113755
39,Size,"(2344.7368421052633, 2798.684210526316)",2571.7105263157896,0.0028513515018832054
40,Size,"(8246.052631578947, 8700.0)",8473.026315789473,0.0008233082891617505
41,Size,"(4614.473684210527, 5068.421052631579)",4841.447368421053,0.0008233082891617505
42,Size,"(2798.684210526316, 3252.631578947369)",3025.6578947368425,0.002964869915642287
43,Zeta,"(-37.0, 515.8421052631579)",239.42105263157896,-0.002030521735918731
44,Zeta,"(9914.157894736843, 10467.0)",10190.578947368422,0.005220463089905789
