Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,RLU_N2a
1,18PG,0,1,9.3028,3,10,1,440.1666667,0.292666667,-7.193333333,0.17380167,27.93339781,67.48242471,0.875796734,3.534579078,6.161
2,18PG,0,1,9.3028,3,10,1,320.9666667,0.187666667,-5.036666667,0.176928509,28.43594326,68.6964906,0.891553058,1.799084572,6.073
3,18PG,0,1,9.3028,3,10,1,205.6333333,0.408666667,-0.522666667,0.177995941,28.60750097,69.11094539,0.896931912,1.206625788,4.543
4,18PG,0,1,9.3028,3,10,1,236.0666667,0.359666667,-4.42,0.303445302,48.76971747,44.18231015,0.573404455,6.171122619,5.056
5,18PG,0,1,9.3028,3,10,1,188.6,0.308666667,-3.686666667,0.313106392,50.32244744,45.58898627,0.591660502,3.183799392,5.303
6,18PG,0,1,9.3028,3,10,1,248.3,0.374333333,-2.553333333,0.316464928,50.86223125,46.0779966,0.598006949,2.14530028,4.533
7,18PG,0,1,9.3028,3,10,1,221.0666667,0.257,-1.06,0.403862938,64.90883604,26.1348182,0.339181476,8.213301347,4.86
8,18PG,0,1,9.3028,3,10,1,206.6333333,0.367333333,1.177333333,0.421158444,67.68856911,27.2540467,0.353706986,4.282518759,4.564
9,18PG,0,1,9.3028,3,10,1,239.3,0.301,-0.068333333,0.427257572,68.66882083,27.6487341,0.358829297,2.8963582,5.872
10,18PG,0,1,9.3028,3,10,1,228.7,0.5935,-24.26666667,0.483936236,77.77821354,11.74369852,0.152411429,9.841740278,3.466
11,18PG,0,1,9.3028,3,10,1,195.4666667,0.445,-14.43333333,0.508982609,81.80366569,12.35149978,0.160299563,5.175552349,4.419
12,18PG,0,1,9.3028,3,10,1,211.95,0.466166667,-1.853333333,0.517917642,83.23970384,12.56832656,0.163113572,3.510938384,5.476
13,18PG,0,1,9.3028,3,10,1,395.5333333,0.062333333,-9.85,0.345826166,27.79058413,67.47142768,0.875654013,3.516508013,5.756
14,18PG,0,1,9.3028,3,10,1,412.0666667,0.177666667,-4.376666667,0.352015492,28.28795829,68.67897857,0.891325784,1.789721863,5.58
15,18PG,0,1,9.3028,3,10,1,288.7666667,0.699333333,-1.413,0.354128128,28.45772969,69.09115843,0.896675114,1.200308637,4.779
16,18PG,0,1,9.3028,3,10,1,218.7666667,0.298,-4.306666667,0.603714399,48.51447769,44.16974097,0.57324133,6.13882561,4.625
17,18PG,0,1,9.3028,3,10,1,221.7666667,0.319666667,-1.85,0.622831674,50.05074156,45.56842401,0.591393642,3.16660911,4.754
18,18PG,0,1,9.3028,3,10,1,491.3333333,0.671,-4.253333333,0.629476023,50.58468127,46.0545465,0.59770261,2.133593597,4.522
19,18PG,0,1,9.3028,3,10,1,227.4,0.285666667,0.728366667,0.803422948,64.56305287,26.12492378,0.339053065,8.169547344,4.934
20,18PG,0,1,9.3028,3,10,1,217.1,0.286333333,-0.417,0.837638588,67.31262109,27.2375146,0.353492431,4.258733288,4.984
21,18PG,0,1,9.3028,3,10,1,241.5666667,0.296333333,-2.663333333,0.849700751,68.28193627,27.62974025,0.358582792,2.880039932,4.898
22,18PG,0,1,9.3028,3,10,1,188.8333333,0.565833333,-25.4,0.962644151,77.35806574,11.73837134,0.152342292,9.788576477,5.043
23,18PG,0,1,9.3028,3,10,1,184.6,0.429666667,-17.4,1.01218332,81.33903244,12.34244623,0.160182064,5.146155944,5.165
24,18PG,0,1,9.3028,3,10,1,285.2666667,0.270666667,-8.583333333,1.029849202,82.75866238,12.55786195,0.162977761,3.490648704,5.617
25,18PG,0,1,9.3028,3,10,1,431.4,0.301666667,-6.4,0.684651564,27.50929336,67.44976755,0.875372905,3.480914619,4.844
26,18PG,0,1,9.3028,3,10,1,265.1333333,0.512666667,-3.806666667,0.6967787,27.99656157,68.64449569,0.89087826,1.771285782,4.977
27,18PG,0,1,9.3028,3,10,1,1283.4,0.621666667,-1.361666667,0.700917115,28.16284305,69.05219962,0.896169501,1.187870717,4.19
28,18PG,0,1,9.3028,3,10,1,281.9333333,0.463333333,-5.183333333,1.194921386,48.01192999,44.14499322,0.57292015,6.075235258,5.242
29,18PG,0,1,9.3028,3,10,1,247.4666667,0.442333333,-2.506666667,1.232355638,49.51603789,45.52795851,0.590868475,3.132779491,4.779
30,18PG,0,1,9.3028,3,10,1,230.4,0.252,-2.166666667,1.245360437,50.03857058,46.00840581,0.59710379,2.110559385,4.454
31,18PG,0,1,9.3028,3,10,1,215.5666667,0.283333333,0.091,1.589906357,63.88242237,26.10544785,0.338800303,8.083423117,5.063
32,18PG,0,1,9.3028,3,10,1,221.9666667,0.240333333,-0.125666667,1.656872358,66.57311569,27.20499529,0.35307039,4.211946278,4.883
33,18PG,0,1,9.3028,3,10,1,234.9333333,0.281333333,0.407333333,1.680465797,67.52109984,27.59238747,0.358098022,2.847948878,5.198
34,18PG,0,1,9.3028,3,10,1,172.3666667,0.537333333,-25.33333333,1.904710307,76.53124211,11.72788779,0.152206235,9.683953562,4.277
35,18PG,0,1,9.3028,3,10,1,163.9833333,0.436166667,-6.63,2.001628704,80.42542239,12.3246442,0.159951027,5.088353685,5.204
