Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
18PG,1.0,1.0,-0.12710875589855636
18PG,0.0,0.0,0.04145880209966235
DOPE,0.0,0.0,-0.015087758905346464
DOPE,1.0,1.0,0.04340542459359304
DSPC,0.0,0.0,0.009461364734271865
DSPC,1.0,1.0,-0.022765037019305965
DOTAP,0.0,0.0,-0.013680258037252252
DOTAP,1.0,1.0,0.0386065049544048
Size,"(372.0, 471.0)",421.5,0.0029466720945172573
Size,"(273.0, 372.0)",322.5,0.0008220693968213752
Size,"(174.0, 273.0)",223.5,0.0006790604863509468
Size,"(471.0, 570.0)",520.5,0.030271635073850542
Size,"(1263.0, 1362.0)",1312.5,0.02111263227344731
Size,"(75.0, 174.0)",124.5,-0.00988300943144372
Size,"(867.0, 966.0)",916.5,0.009706578912194331
Size,"(1857.0, 1956.0)",1906.5,0.013898745498392224
Size,"(966.0, 1065.0)",1015.5,0.021328188973729015
Size,"(1164.0, 1263.0)",1213.5,0.013826430443001969
Size,"(1065.0, 1164.0)",1114.5,0.019249394395489235
Size,"(1659.0, 1758.0)",1708.5,0.021721644257019973
Size,"(669.0, 768.0)",718.5,0.015137261983840005
Size,"(570.0, 669.0)",619.5,0.020787151153913542
Size,"(768.0, 867.0)",817.5,0.012039048516004656
Size,"(1461.0, 1560.0)",1510.5,0.00895631678954832
Size,"(1560.0, 1659.0)",1609.5,0.04044904769360133
Size,"(1758.0, 1857.0)",1807.5,0.009300817787984614
PDI,0.292666667,0.292666667,-0.014755386500421672
PDI,0.187666667,0.187666667,-0.013058699868134462
PDI,0.408666667,0.408666667,-0.04072816698583301
PDI,0.359666667,0.359666667,-0.001851316158742841
PDI,0.308666667,0.308666667,-0.01238830443584681
PDI,0.374333333,0.374333333,-0.03224285149180343
PDI,0.257,0.257,0.006535613308303183
PDI,0.367333333,0.367333333,0.01714070214194391
PDI,0.301,0.301,0.012699297810245317
PDI,0.5935,0.5935,0.0062995827788467264
PDI,0.445,0.445,0.025050787425428978
PDI,0.466166667,0.466166667,0.012508917359179328
PDI,0.062333333,0.062333333,0.004149033341491899
PDI,0.177666667,0.177666667,-0.000926167563232025
PDI,0.699333333,0.699333333,0.013535009921048806
PDI,0.298,0.298,-0.016899200341732732
PDI,0.319666667,0.319666667,-0.002306370911273265
PDI,0.671,0.671,0.009606982729333524
PDI,0.285666667,0.285666667,0.018257668683191328
PDI,0.286333333,0.286333333,0.015895485621664505
PDI,0.296333333,0.296333333,0.0044574936464520315
PDI,0.565833333,0.565833333,0.01585462320334075
PDI,0.429666667,0.429666667,0.021416925509166483
PDI,0.270666667,0.270666667,0.003103502168860488
PDI,0.301666667,0.301666667,-0.0001101792446580388
PDI,0.512666667,0.512666667,0.008590971714994159
PDI,0.621666667,0.621666667,0.00402353157803359
PDI,0.463333333,0.463333333,0.025607502910266724
PDI,0.442333333,0.442333333,0.020722086216285112
PDI,0.252,0.252,0.014248238915685373
PDI,0.283333333,0.283333333,0.004172213717134051
PDI,0.240333333,0.240333333,0.011548065700132448
PDI,0.281333333,0.281333333,-0.009761228988146149
PDI,0.537333333,0.537333333,0.015680598023412973
PDI,0.436166667,0.436166667,0.029634855500234196
PDI,0.323,0.323,-0.00952909488582101
PDI,0.320333333,0.320333333,-0.025167210653424515
PDI,0.568333333,0.568333333,-0.012082311767973157
PDI,0.293,0.293,-0.010572420750912293
PDI,0.251,0.251,0.016126889494682457
PDI,0.263,0.263,0.012184220521185684
PDI,0.273666667,0.273666667,-0.02396517642949875
PDI,0.252666667,0.252666667,-0.0017946713800714217
PDI,0.257333333,0.257333333,-0.0006003307004075561
PDI,0.268333333,0.268333333,0.0013836892250134669
PDI,0.3755,0.3755,0.005717660623387735
PDI,0.288833333,0.288833333,0.0026958997569438573
PDI,0.234333333,0.234333333,0.02895180350665308
PDI,0.579,0.579,-0.020933848231051412
PDI,0.492333333,0.492333333,-0.01229372843952656
PDI,0.215333333,0.215333333,-0.01370139598708072
PDI,0.760333333,0.760333333,0.008585916985997694
PDI,0.693666667,0.693666667,-0.008997592985058036
PDI,0.461,0.461,-0.006903139399276045
PDI,0.716333333,0.716333333,-0.00718350093381685
PDI,0.147333333,0.147333333,-0.030615787330234116
