Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
18PG,1.0,1.0,-0.1207877233401085
18PG,0.0,0.0,0.03884773022418831
DOPE,0.0,0.0,-0.013573741284109566
DOPE,1.0,1.0,0.03720771714874704
DSPC,0.0,0.0,0.01371980378701205
DSPC,1.0,1.0,-0.031947426404418784
DOTAP,0.0,0.0,-0.010412446062880458
DOTAP,1.0,1.0,0.02978339260314917
NP_ratio,4.0,4.0,0.0005155220182219204
NP_ratio,8.0,8.0,0.006463608069047535
NP_ratio,12.0,12.0,-0.006979130087269452
PEG_(Chol+PEG),0.199600798,0.199600798,0.05709381249390722
PEG_(Chol+PEG),0.99009901,0.99009901,0.14071006981030626
PEG_(Chol+PEG),9.090909091,9.090909091,-0.19780388230421395
(IL+HL),20.0,20.0,0.059650381483786555
(IL+HL),40.0,40.0,0.050781043640932014
(IL+HL),60.0,60.0,-0.020622824531124722
(IL+HL),80.0,80.0,-0.08980860059359369
HL_(IL+HL),0.497512438,0.497512438,-0.011566999318201925
HL_(IL+HL),0.99009901,0.99009901,-0.04628808534753994
HL_(IL+HL),1.960784314,1.960784314,-0.02019288006645985
HL_(IL+HL),9.090909091,9.090909091,0.025924913418764493
HL_(IL+HL),50.0,50.0,0.05212305131343722
