group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.8232,0.9897,-3.506,1.8595,False
DT,MLP,1.9287,0.3844,-0.754,4.6115,False
DT,MLR,4.2374,0.0,1.5547,6.9202,True
DT,PLS,4.3136,0.0,1.6308,6.9963,True
DT,RF,-0.0468,1.0,-2.7295,2.636,False
DT,XGB,-0.195,1.0,-2.8777,2.4878,False
DT,kNN,6.1348,0.0,3.4521,8.8175,True
DT,lasso,5.8778,0.0,3.195,8.5605,True
LGBM,MLP,2.752,0.0393,0.0692,5.4347,True
LGBM,MLR,5.0606,0.0,2.3779,7.7434,True
LGBM,PLS,5.1368,0.0,2.454,7.8195,True
LGBM,RF,0.7764,0.993,-1.9063,3.4592,False
LGBM,XGB,0.6283,0.9984,-2.0545,3.311,False
LGBM,kNN,6.958,0.0,4.2753,9.6408,True
LGBM,lasso,6.701,0.0,4.0182,9.3837,True
MLP,MLR,2.3087,0.1583,-0.3741,4.9914,False
MLP,PLS,2.3848,0.1279,-0.2979,5.0676,False
MLP,RF,-1.9755,0.3503,-4.6583,0.7072,False
MLP,XGB,-2.1237,0.2531,-4.8064,0.559,False
MLP,kNN,4.2061,0.0,1.5233,6.8888,True
MLP,lasso,3.949,0.0002,1.2663,6.6318,True
MLR,PLS,0.0761,1.0,-2.6066,2.7589,False
MLR,RF,-4.2842,0.0,-6.9669,-1.6015,True
MLR,XGB,-4.4324,0.0,-7.1151,-1.7496,True
MLR,kNN,1.8974,0.408,-0.7854,4.5801,False
MLR,lasso,1.6403,0.6143,-1.0424,4.3231,False
PLS,RF,-4.3603,0.0,-7.0431,-1.6776,True
PLS,XGB,-4.5085,0.0,-7.1913,-1.8258,True
PLS,kNN,1.8212,0.4675,-0.8615,4.504,False
PLS,lasso,1.5642,0.6748,-1.1185,4.2469,False
RF,XGB,-0.1482,1.0,-2.8309,2.5346,False
RF,kNN,6.1816,0.0,3.4988,8.8643,True
RF,lasso,5.9245,0.0,3.2418,8.6073,True
XGB,kNN,6.3298,0.0,3.647,9.0125,True
XGB,lasso,6.0727,0.0,3.39,8.7555,True
kNN,lasso,-0.257,1.0,-2.9398,2.4257,False
