Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
18PG,1.0,1.0,0.009420385630918886
18PG,0.0,0.0,0.0011400349364903786
14PA,0.0,0.0,0.0031660768676146363
14PA,1.0,1.0,-0.007923270627404342
DOPE,0.0,0.0,-0.013009146595859167
DOPE,1.0,1.0,0.03706094005914017
DSPC,0.0,0.0,-0.0015104626615417456
DSPC,1.0,1.0,0.004003289714264574
DOTAP,0.0,0.0,-0.021829016864328903
DOTAP,1.0,1.0,0.09389824839533552
DDAB,0.0,0.0,-0.024772011733529865
DDAB,1.0,1.0,0.14338284835168588
Size,"(372.0, 471.0)",421.5,0.00347318154841364
Size,"(273.0, 372.0)",322.5,-0.0007392600074182025
Size,"(174.0, 273.0)",223.5,-0.002104202413086167
Size,"(471.0, 570.0)",520.5,-0.0022677368954896427
Size,"(1263.0, 1362.0)",1312.5,0.005963796972318411
Size,"(75.0, 174.0)",124.5,0.0031431666910665787
Size,"(867.0, 966.0)",916.5,0.0050032645423469906
Size,"(1857.0, 1956.0)",1906.5,0.0028812191733929883
Size,"(966.0, 1065.0)",1015.5,0.0013461084087214668
Size,"(1164.0, 1263.0)",1213.5,-9.788163469184467e-05
Size,"(1065.0, 1164.0)",1114.5,-0.0005370693705107829
Size,"(1659.0, 1758.0)",1708.5,0.0017530164141562647
Size,"(669.0, 768.0)",718.5,0.002238061789097694
Size,"(570.0, 669.0)",619.5,0.005344699346666897
Size,"(768.0, 867.0)",817.5,0.0003013305249582398
Size,"(1461.0, 1560.0)",1510.5,0.003989053949363329
Size,"(1560.0, 1659.0)",1609.5,0.001080937401232808
Size,"(1758.0, 1857.0)",1807.5,0.0018493690838161654
PDI,0.292666667,0.292666667,0.00026721805420616387
PDI,0.187666667,0.187666667,-0.0007523009909311374
PDI,0.408666667,0.408666667,0.0003938936006487617
PDI,0.359666667,0.359666667,0.00033713628865885927
PDI,0.308666667,0.308666667,-0.001366855080270775
PDI,0.374333333,0.374333333,4.636244239132381e-05
PDI,0.257,0.257,0.00018937292212970705
PDI,0.367333333,0.367333333,0.0006145360330751047
PDI,0.301,0.301,0.00044080893302414725
PDI,0.5935,0.5935,-0.0005540592087706034
PDI,0.445,0.445,-0.0011848125167973557
PDI,0.466166667,0.466166667,-0.001291452630559702
PDI,0.062333333,0.062333333,-0.0006765862555494391
PDI,0.177666667,0.177666667,1.562752934780099e-06
PDI,0.699333333,0.699333333,-0.0016474107584246978
PDI,0.298,0.298,0.0002811032029565702
PDI,0.319666667,0.319666667,0.0014460750153537385
PDI,0.671,0.671,-0.0012525725193539864
PDI,0.285666667,0.285666667,0.00017700985641147537
PDI,0.286333333,0.286333333,0.0003832620956472142
PDI,0.296333333,0.296333333,0.0006971195337223693
PDI,0.565833333,0.565833333,-0.0007075965912367839
PDI,0.429666667,0.429666667,-0.0013361166974160527
PDI,0.270666667,0.270666667,0.0004059359927648032
PDI,0.301666667,0.301666667,0.0008255698560084017
PDI,0.512666667,0.512666667,-0.002878769441523898
PDI,0.621666667,0.621666667,-0.0014561213954191808
PDI,0.463333333,0.463333333,-0.0037685823952400828
PDI,0.442333333,0.442333333,-0.002149627325765725
PDI,0.252,0.252,-0.0006909201756525374
PDI,0.283333333,0.283333333,0.0011711460431582516
PDI,0.240333333,0.240333333,0.0008775852377259768
PDI,0.281333333,0.281333333,-0.0008105562743546853
PDI,0.537333333,0.537333333,-0.0009276646549400821
PDI,0.436166667,0.436166667,-0.0022725420751890215
PDI,0.323,0.323,0.0006318133451546948
PDI,0.320333333,0.320333333,0.00037044511602672464
PDI,0.568333333,0.568333333,-0.0011126879737196416
PDI,0.293,0.293,0.0007730485794324273
PDI,0.251,0.251,0.0007460981894195096
PDI,0.263,0.263,-0.00018487321050000193
PDI,0.273666667,0.273666667,0.0003883008440960886
PDI,0.252666667,0.252666667,0.00037227909750005094
PDI,0.257333333,0.257333333,-0.0001259805976745461
PDI,0.268333333,0.268333333,0.00010570886690547111
PDI,0.3755,0.3755,-0.0005452759369992931
PDI,0.288833333,0.288833333,-0.0002722638547747304
PDI,0.234333333,0.234333333,0.0002490658338382776
PDI,0.579,0.579,-0.0003835168562424591
PDI,0.492333333,0.492333333,-0.0012511370668470989
PDI,0.215333333,0.215333333,0.00016635510215845235
PDI,0.760333333,0.760333333,-0.0008034011379428343
PDI,0.693666667,0.693666667,-0.0005279494856001851
PDI,0.461,0.461,-0.0009301636924842372
PDI,0.716333333,0.716333333,-0.0003825664224842315
PDI,0.147333333,0.147333333,-0.0018075125784851357
PDI,0.683333333,0.683333333,-0.0007799573359168493
PDI,0.131333333,0.131333333,-0.0008287102081951116
