Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
18PG,1.0,1.0,0.026634077031405568
18PG,0.0,0.0,-0.006621108862531575
14PA,0.0,0.0,0.003717272532080008
14PA,1.0,1.0,-0.012496457850313369
DOPE,0.0,0.0,-0.011874868483416547
DOPE,1.0,1.0,0.04420702997911434
DSPC,0.0,0.0,0.0001319632467408949
DSPC,1.0,1.0,-0.0007228678133067088
DOTAP,0.0,0.0,-0.022581289430771447
DOTAP,1.0,1.0,0.1045353015500815
DDAB,0.0,0.0,-0.02312633204069771
DDAB,1.0,1.0,0.13907306409376907
Size,"(372.0, 471.0)",421.5,-0.0022917446960033184
Size,"(273.0, 372.0)",322.5,-0.0038493099072430775
Size,"(174.0, 273.0)",223.5,-0.005026221038212775
Size,"(471.0, 570.0)",520.5,-0.0038087778506993085
Size,"(1263.0, 1362.0)",1312.5,-0.005931103118695643
Size,"(75.0, 174.0)",124.5,0.0057163398094624614
Size,"(867.0, 966.0)",916.5,-0.0018919706997033688
Size,"(1857.0, 1956.0)",1906.5,-0.0029294686352336514
Size,"(966.0, 1065.0)",1015.5,-0.002808334576139145
Size,"(1164.0, 1263.0)",1213.5,-0.003554018198211824
Size,"(1065.0, 1164.0)",1114.5,-0.003554018198211824
Size,"(1659.0, 1758.0)",1708.5,-0.00253017221989533
Size,"(669.0, 768.0)",718.5,-0.0030912515615229437
Size,"(570.0, 669.0)",619.5,-0.000884197049001279
Size,"(768.0, 867.0)",817.5,-0.0035212799423525475
Size,"(1461.0, 1560.0)",1510.5,-0.002793933401017719
Size,"(1560.0, 1659.0)",1609.5,-0.003171670089235074
Size,"(1758.0, 1857.0)",1807.5,-0.0018610304720240063
PEG_(Chol+PEG),0.199600798,0.199600798,-0.001643553985294356
PEG_(Chol+PEG),0.99009901,0.99009901,0.04992674191492627
PEG_(Chol+PEG),9.090909091,9.090909091,-0.049046341642604414
(IL+HL),20.0,20.0,-0.014699798022609172
(IL+HL),40.0,40.0,-0.0057911292909358205
(IL+HL),60.0,60.0,-0.00020805481027798452
(IL+HL),80.0,80.0,0.02107793223302655
HL_(IL+HL),0.497512438,0.497512438,-0.060262791835538676
HL_(IL+HL),0.99009901,0.99009901,-0.060719839040584936
HL_(IL+HL),1.960784314,1.960784314,-0.05438330611326134
HL_(IL+HL),9.090909091,9.090909091,0.03764400970600214
HL_(IL+HL),50.0,50.0,0.13678810841959854
