Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
18PG,1.0,1.0,-0.003319381836423062
18PG,0.0,0.0,0.001307972824880618
14PA,0.0,0.0,-0.002327317496307586
14PA,1.0,1.0,0.007497361363227729
DOPE,0.0,0.0,-0.005032767447293275
DOPE,1.0,1.0,0.020605115847864154
DSPC,0.0,0.0,-0.0011562868060162308
DSPC,1.0,1.0,0.003103881786727836
DOTAP,0.0,0.0,-0.03735841631345015
DOTAP,1.0,1.0,0.17233563257560125
DDAB,0.0,0.0,-0.0494017240185696
DDAB,1.0,1.0,0.26997363317179923
NP_ratio,4.0,4.0,-0.013848312029880757
NP_ratio,8.0,8.0,-0.00832149574036132
NP_ratio,12.0,12.0,0.023005408194385533
PEG_(Chol+PEG),0.199600798,0.199600798,-0.002205536238523642
PEG_(Chol+PEG),0.99009901,0.99009901,0.02828771123911505
PEG_(Chol+PEG),9.090909091,9.090909091,-0.024871398942964737
(IL+HL),20.0,20.0,-0.03674792454016351
(IL+HL),40.0,40.0,-0.009197922337663566
(IL+HL),60.0,60.0,0.02229943272962025
(IL+HL),80.0,80.0,0.02470853345097291
HL_(IL+HL),0.497512438,0.497512438,-0.04672328901369
HL_(IL+HL),0.99009901,0.99009901,-0.054886859846415996
HL_(IL+HL),1.960784314,1.960784314,-0.04993404037047431
HL_(IL+HL),9.090909091,9.090909091,0.02881583245197555
HL_(IL+HL),50.0,50.0,0.12354848432731738
