,0,1,2,3,4,Train_size,Score_Type,Mean_MAE,sd,Percent_Error,Percent_SD
4,0.11276106272444338,0.1064671220126923,0.1571856899761673,0.11099307296398604,0.11203473945409428,4,Train,0.11988833742627666,0.020993000655258998,11.988833742627666,2.0993000655258998
21,0.10890672649227302,0.11718610661543138,0.11348080013667931,0.10580481319765381,0.12755946598772927,21,Train,0.11458758248595335,0.008450683664595157,11.458758248595336,0.8450683664595158
39,0.05544819787657377,0.06321021175856245,0.06506947628248748,0.05287850357595366,0.05335201497576281,39,Train,0.05799168089386804,0.00573298874768337,5.799168089386804,0.573298874768337
56,0.04461836758369194,0.0469516586054781,0.04736707941891081,0.04158529011858528,0.040781897031958746,56,Train,0.04426085855172497,0.0030115886758231214,4.426085855172497,0.30115886758231214
74,0.03580733202266233,0.040114858122651885,0.03828110620757173,0.037524016280549154,0.03625176775566234,74,Train,0.03759581607781949,0.0017194106333495594,3.759581607781949,0.17194106333495593
92,0.03191817537258944,0.03593234084685468,0.033245373525295774,0.03324693932688273,0.032807780428777925,92,Train,0.033430121900080115,0.0015001732136323423,3.3430121900080114,0.15001732136323423
109,0.028242831692147495,0.031609646152852014,0.030067876563496992,0.029946772547864008,0.028474611543705224,109,Train,0.02966834770001315,0.0013659140978855594,2.966834770001315,0.13659140978855594
127,0.025915779130269934,0.027835950822663443,0.027552005614006315,0.028258380401294005,0.028151333145408197,127,Train,0.027542689822728377,0.0009507348339279457,2.754268982272838,0.09507348339279457
144,0.025559252750370225,0.02656220553877379,0.025951247905470216,0.027746939921076068,0.02683141587026756,144,Train,0.026530212397191572,0.0008441172132928335,2.6530212397191573,0.08441172132928335
162,0.024314912926182583,0.025728709550419736,0.024738291790240504,0.026122371690282635,0.02507368449345056,162,Train,0.02519559409011521,0.0007319008590518182,2.5195594090115208,0.07319008590518182
179,0.023306722435158016,0.023476822130232375,0.023684084037392104,0.024018318684954416,0.023960457828399746,179,Train,0.02368928102322733,0.00030549938857481673,2.368928102322733,0.030549938857481675
197,0.02263594046611277,0.023280707419760772,0.022706749691016763,0.02292569914531241,0.024273240480843263,197,Train,0.0231644674406092,0.0006687200437036964,2.31644674406092,0.06687200437036964
214,0.022772873128760297,0.023005954817942632,0.022071163418631076,0.022431290792290445,0.022866947143148807,214,Train,0.022629645860154653,0.0003773863244514601,2.2629645860154652,0.03773863244514601
232,0.021626199620703657,0.02239005801365651,0.021687023478402626,0.022240728625943194,0.022462241538564787,232,Train,0.02208125025545415,0.0003963697049212252,2.208125025545415,0.039636970492122524
249,0.021717486734296337,0.022080893457550106,0.021207907418426153,0.02209657226132116,0.02200858899187492,249,Train,0.021822289772693734,0.00037592003888765044,2.1822289772693733,0.037592003888765047
267,0.02138538139922434,0.021442577661744865,0.021483227702095875,0.02157169011992343,0.02186201436362232,267,Train,0.021548978249322163,0.00018769362454651282,2.1548978249322164,0.018769362454651283
285,0.021278578167728303,0.021105114435326887,0.021031828227721115,0.021486058417225597,0.020958458972478684,285,Train,0.021172007644096116,0.00021196295072176678,2.1172007644096116,0.021196295072176678
302,0.020955389647583415,0.02031021768594941,0.020637486124404657,0.02166512811522158,0.021007347644009525,302,Train,0.020915113843433718,0.0005038916386403432,2.091511384343372,0.050389163864034324
