group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-1.512,0.6928,-4.1446,1.1206,False
DT,MLP,0.2723,1.0,-2.3603,2.9049,False
DT,MLR,3.6333,0.0006,1.0007,6.2659,True
DT,PLS,3.6477,0.0006,1.0151,6.2803,True
DT,RF,-0.8034,0.9901,-3.436,1.8292,False
DT,XGB,-1.1931,0.895,-3.8257,1.4395,False
DT,kNN,3.399,0.0021,0.7664,6.0316,True
DT,lasso,3.689,0.0005,1.0564,6.3216,True
LGBM,MLP,1.7843,0.4699,-0.8483,4.4169,False
LGBM,MLR,5.1453,0.0,2.5127,7.7779,True
LGBM,PLS,5.1597,0.0,2.5271,7.7923,True
LGBM,RF,0.7086,0.9958,-1.924,3.3412,False
LGBM,XGB,0.3189,1.0,-2.3137,2.9515,False
LGBM,kNN,4.911,0.0,2.2784,7.5436,True
LGBM,lasso,5.201,0.0,2.5684,7.8336,True
MLP,MLR,3.361,0.0025,0.7284,5.9936,True
MLP,PLS,3.3754,0.0023,0.7428,6.008,True
MLP,RF,-1.0757,0.9401,-3.7083,1.5569,False
MLP,XGB,-1.4654,0.7284,-4.098,1.1672,False
MLP,kNN,3.1267,0.0072,0.4941,5.7593,True
MLP,lasso,3.4167,0.0019,0.7841,6.0493,True
MLR,PLS,0.0143,1.0,-2.6183,2.6469,False
MLR,RF,-4.4368,0.0,-7.0693,-1.8042,True
MLR,XGB,-4.8264,0.0,-7.459,-2.1939,True
MLR,kNN,-0.2343,1.0,-2.8669,2.3983,False
MLR,lasso,0.0557,1.0,-2.5769,2.6883,False
PLS,RF,-4.4511,0.0,-7.0837,-1.8185,True
PLS,XGB,-4.8408,0.0,-7.4734,-2.2082,True
PLS,kNN,-0.2486,1.0,-2.8812,2.384,False
PLS,lasso,0.0413,1.0,-2.5913,2.6739,False
RF,XGB,-0.3897,0.9999,-3.0223,2.2429,False
RF,kNN,4.2024,0.0,1.5698,6.835,True
RF,lasso,4.4924,0.0,1.8598,7.125,True
XGB,kNN,4.5921,0.0,1.9595,7.2247,True
XGB,lasso,4.8821,0.0,2.2495,7.5147,True
kNN,lasso,0.29,1.0,-2.3426,2.9226,False
