Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.044479198861231674
P_charged_centers,1.0,1.0,0.034334531782282005
cLogP,9.3028,9.3028,-0.1009246996859598
cLogP,9.784,9.784,-0.08217343846350537
cLogP,12.515,12.515,0.1823279492368592
cLogP,6.12,6.12,-0.06347800242007436
cLogP,11.8502,11.8502,-0.06826731431524821
cLogP,12.73,12.73,0.08377786701645758
Hbond_D,3.0,3.0,-0.0012567920974139236
Hbond_D,2.0,2.0,0.00034847503579096167
Hbond_D,0.0,0.0,0.00027177914779181816
Double_bonds,1.0,1.0,-0.00012034713982826929
Double_bonds,2.0,2.0,0.0001565385997743319
Double_bonds,0.0,0.0,-3.010541748600117e-05
NP_ratio,4.0,4.0,-0.017116793631348243
NP_ratio,8.0,8.0,-0.009992270388035863
NP_ratio,12.0,12.0,0.02710906401938413
PEG_(Chol+PEG),0.199600798,0.199600798,0.013360359615448342
PEG_(Chol+PEG),0.99009901,0.99009901,0.061177793217947724
PEG_(Chol+PEG),9.090909091,9.090909091,-0.07453815283339588
(IL+HL),20.0,20.0,-0.00926605241696289
(IL+HL),40.0,40.0,0.028502523302432633
(IL+HL),60.0,60.0,-0.0042662953113297925
(IL+HL),80.0,80.0,-0.014970175574139918
HL_(IL+HL),0.497512438,0.497512438,-0.03109953545784059
HL_(IL+HL),0.99009901,0.99009901,-0.040581250671780526
HL_(IL+HL),1.960784314,1.960784314,-0.022618440806701716
HL_(IL+HL),9.090909091,9.090909091,0.05562675282776177
HL_(IL+HL),50.0,50.0,0.038672474108560714
