group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.2638,1.0,-3.2244,2.6969,False
DT,MLP,1.6301,0.7402,-1.3305,4.5908,False
DT,MLR,5.755,0.0,2.7943,8.7156,True
DT,PLS,5.8119,0.0,2.8512,8.7725,True
DT,RF,-0.0025,1.0,-2.9631,2.9582,False
DT,XGB,0.2726,1.0,-2.688,3.2333,False
DT,kNN,3.715,0.0033,0.7543,6.6756,True
DT,lasso,5.437,0.0,2.4764,8.3977,True
LGBM,MLP,1.8939,0.5526,-1.0667,4.8546,False
LGBM,MLR,6.0187,0.0,3.0581,8.9794,True
LGBM,PLS,6.0756,0.0,3.115,9.0363,True
LGBM,RF,0.2613,1.0,-2.6993,3.222,False
LGBM,XGB,0.5364,0.9998,-2.4242,3.4971,False
LGBM,kNN,3.9788,0.0011,1.0181,6.9394,True
LGBM,lasso,5.7008,0.0,2.7401,8.6614,True
MLP,MLR,4.1248,0.0005,1.1642,7.0855,True
MLP,PLS,4.1817,0.0004,1.2211,7.1424,True
MLP,RF,-1.6326,0.7386,-4.5933,1.328,False
MLP,XGB,-1.3575,0.8886,-4.3182,1.6031,False
MLP,kNN,2.0848,0.4143,-0.8758,5.0455,False
MLP,lasso,3.8069,0.0022,0.8462,6.7675,True
MLR,PLS,0.0569,1.0,-2.9037,3.0176,False
MLR,RF,-5.7574,0.0,-8.7181,-2.7968,True
MLR,XGB,-5.4823,0.0,-8.443,-2.5217,True
MLR,kNN,-2.04,0.4459,-5.0006,0.9207,False
MLR,lasso,-0.318,1.0,-3.2786,2.6427,False
PLS,RF,-5.8143,0.0,-8.775,-2.8537,True
PLS,XGB,-5.5392,0.0,-8.4999,-2.5786,True
PLS,kNN,-2.0969,0.406,-5.0575,0.8638,False
PLS,lasso,-0.3749,1.0,-3.3355,2.5858,False
RF,XGB,0.2751,1.0,-2.6855,3.2357,False
RF,kNN,3.7174,0.0032,0.7568,6.6781,True
RF,lasso,5.4395,0.0,2.4788,8.4001,True
XGB,kNN,3.4424,0.0095,0.4817,6.403,True
XGB,lasso,5.1644,0.0,2.2037,8.125,True
kNN,lasso,1.722,0.6777,-1.2386,4.6827,False
