Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.001684614077608607
P_charged_centers,1.0,1.0,0.0012076143055311623
cLogP,9.3028,9.3028,-0.035072725324336064
cLogP,9.784,9.784,-0.035756215832741606
cLogP,12.515,12.515,0.030244795025116917
cLogP,6.12,6.12,-0.03781336885374371
cLogP,11.8502,11.8502,-0.04901446404213169
cLogP,12.73,12.73,0.11594486750000124
Hbond_D,3.0,3.0,0.02120185039844444
Hbond_D,2.0,2.0,-0.008579336896332173
Hbond_D,0.0,0.0,-0.0012908382129926215
Hbond_A,10.0,10.0,0.0029308524548853315
Hbond_A,9.0,9.0,0.004322931104691621
Hbond_A,4.0,4.0,-0.0006099270033205881
Hbond_A,8.0,8.0,-0.0024956096967973514
Hbond_A,0.0,0.0,-0.0003360607047732975
Double_bonds,1.0,1.0,-0.021324080448135423
Double_bonds,2.0,2.0,0.04329107650584144
Double_bonds,0.0,0.0,-0.01891314284243687
NP_ratio,4.0,4.0,-0.004561984947980826
NP_ratio,8.0,8.0,-0.010458644263246799
NP_ratio,12.0,12.0,0.015020629211227638
PEG_(Chol+PEG),0.199600798,0.199600798,-0.002271015961816196
PEG_(Chol+PEG),0.99009901,0.99009901,0.046518481332794674
PEG_(Chol+PEG),9.090909091,9.090909091,-0.04424746537097842
(IL+HL),20.0,20.0,-0.02637481072547135
(IL+HL),40.0,40.0,-0.005662429767758203
(IL+HL),60.0,60.0,0.009423523117901495
(IL+HL),80.0,80.0,0.022613717375328045
HL_(IL+HL),0.497512438,0.497512438,-0.04902627707990089
HL_(IL+HL),0.99009901,0.99009901,-0.059708270538781034
HL_(IL+HL),1.960784314,1.960784314,-0.04837734178088873
HL_(IL+HL),9.090909091,9.090909091,0.03160746590324734
HL_(IL+HL),50.0,50.0,0.1255044234963231
