Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
P_charged_centers,0.0,0.0,-0.00761848182387854
P_charged_centers,1.0,1.0,0.004707661265425503
N_charged_centers,1.0,1.0,-0.031367695452755216
N_charged_centers,0.0,0.0,0.057351195471974134
cLogP,9.3028,9.3028,-0.005411014825219198
cLogP,9.784,9.784,-0.008136203297541243
cLogP,12.515,12.515,-0.004932892144890185
cLogP,6.12,6.12,-0.010020137997310614
cLogP,11.8502,11.8502,-0.012932623286535112
cLogP,12.73,12.73,0.043407597137843305
Hbond_D,3.0,3.0,0.01742490396099987
Hbond_D,2.0,2.0,-0.005511391364724437
Hbond_D,0.0,0.0,-0.0029662214169526423
Hbond_A,10.0,10.0,0.005318671822904344
Hbond_A,9.0,9.0,0.005755607706303594
Hbond_A,4.0,4.0,-0.002686942146002639
Hbond_A,8.0,8.0,-0.00582789120797893
Hbond_A,0.0,0.0,-0.0017522660162502574
Total_Carbon_Tails,36.0,36.0,0.0009755527105416504
Total_Carbon_Tails,28.0,28.0,-0.0046480479339026165
Double_bonds,1.0,1.0,-0.011807835936365871
Double_bonds,2.0,2.0,0.025217938520226024
Double_bonds,0.0,0.0,-0.011523530931333337
Size,"(372.0, 471.0)",421.5,-0.002760269664104048
Size,"(273.0, 372.0)",322.5,-0.0006940448605712372
Size,"(174.0, 273.0)",223.5,-0.0041293969993766826
Size,"(471.0, 570.0)",520.5,-0.003188214433538476
Size,"(1263.0, 1362.0)",1312.5,-0.0014601374365740523
Size,"(75.0, 174.0)",124.5,0.005857509006003227
Size,"(867.0, 966.0)",916.5,0.0027194549289091493
Size,"(1857.0, 1956.0)",1906.5,-0.002372789437429539
Size,"(966.0, 1065.0)",1015.5,-0.005379903064337742
Size,"(1164.0, 1263.0)",1213.5,-0.005379827824160995
Size,"(1065.0, 1164.0)",1114.5,-0.005639002491368561
Size,"(1659.0, 1758.0)",1708.5,-0.003879901786864838
Size,"(669.0, 768.0)",718.5,-0.0028456972381501926
Size,"(570.0, 669.0)",619.5,-0.0025007748137685602
Size,"(768.0, 867.0)",817.5,0.004471406340613687
Size,"(1461.0, 1560.0)",1510.5,-0.002506984719227244
Size,"(1560.0, 1659.0)",1609.5,-0.003252172737026284
Size,"(1758.0, 1857.0)",1807.5,0.008278562788779096
PDI,0.292666667,0.292666667,-0.0005315230706994142
PDI,0.187666667,0.187666667,-0.0005097034520593706
PDI,0.408666667,0.408666667,-0.0013460333942386306
PDI,0.359666667,0.359666667,0.0013734056746720932
PDI,0.308666667,0.308666667,0.000288856943091895
PDI,0.374333333,0.374333333,-0.0012046172930361186
PDI,0.257,0.257,0.0005615375609307936
PDI,0.367333333,0.367333333,0.00218099630818498
PDI,0.301,0.301,-0.0001570850107232544
PDI,0.5935,0.5935,0.0020120796670026393
PDI,0.445,0.445,0.0015442584502826232
PDI,0.466166667,0.466166667,-0.003939124403594677
PDI,0.062333333,0.062333333,0.0014533023142707646
