,B16,HepG2,PC3,HEK293,N2a,ARPE19
,,,,,,
Model_Name,LGBM,LGBM,LGBM,LGBM,LGBM,LGBM
,,,,,,
Retained_Features,"['P_charged_centers', 'cLogP', 'Hbond_D', 'Double_bonds', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']","['P_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']","['P_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']","['P_charged_centers', 'cLogP', 'Hbond_D', 'Hbond_A', 'Double_bonds', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']","['P_charged_centers', 'cLogP', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']","['P_charged_centers', 'Hbond_A', 'NP_ratio', 'PEG_(Chol+PEG)', '(IL+HL)', 'HL_(IL+HL)']"
,,,,,,
# of Features,8,9,8,9,6,6
,,,,,,
MAE,0.048,0.059,0.057,0.077,0.059,0.094
Spearman,0.922,0.736,0.722,0.850,0.903,0.875
Pearson,0.937,0.876,0.906,0.837,0.923,0.879
